Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/102100;Vicia lathyroides;vårvikke;EN;""B2a(i)b(ii,iii,iv,""v)""""";102100;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | Ko | SM"",,,,,,,,,";;;;
"N/102799;Viola hirta;lodnefiol;EN;""B1a(i)b(ii,iii,iv,v)+2a(i)b(ii,iii,iv,""v)""""";102799;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging;"S | SM | Ko"",,,,,,";;;;
"N/99537;Nigritella nigra;svartkurle;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";99537;N;Karplanter;Høsting > Flora-/faunakriminalitet | Påvirkning på habitat > Landbruk > Jordbruk > Oppdyrking | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Ukjent;"V | A | SM"",,,,,,,,";;;;
"N/99338;Najas flexilis;mykt havfruegras;EN;""B2a(i)b(ii,iii,iv,""v)c(iv)""""";99338;N;Karplanter;Fremmede arter > Konkurrenter | Fremmede arter > Påvirker habitatet | Forurensing > I vann > Næringssalter og organiske næringstoffer | Påvirkning fra stedegne arter > Konkurrenter;"L"",,,,,,,,,";;;;
"N/102193;Gentianella uliginosa;smalsøte;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";102193;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i marine miljø > Mudring"", dumping og utfyllinger i strandsonen (inkl. moloer og havneanlegg) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite";F,,,,,,,;;;;
"N/101201;Draba muralis;murrublom;EN;""D1"";101201;N;Karplanter;;B,,,,,,,,,,,,";;;;;;;;;
"N/101126;Braya glabella purpurascens;purpurkarse;EN;""A4(c)"";101126;N;Karplanter;Høsting > Flora-/faunakriminalitet | Klimatiske endringer > Regionale > Temperaturendring | Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.);A,,,,,,,,,,,,";;;;;;;;;
"N/103494;Sorbus neglecta;nordlandsasal;EN;""B1a(ii)b(iii)+2a(ii)b(iii); D1"";103494;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;S,,,,,,,,,,,,";;;;;;;;;
"N/103721;Hyoscyamus niger;bulmeurt;EN;""B2b(i,ii,iii,iv,v)c(iii,""iv)""""";103721;N;Karplanter;"Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging";B | F | Ko | SM | Ky,,,,,;;;;
"N/103658;Saxifraga hirculus hirculus;stor myrsildre;EN;""A2(a,b,c)";" B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,""v)""""";103658;N;Karplanter;Ukjent | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag;"V"",,";;;
"N/102293;Galeopsis ladanum;dundå;EN;""A4(a,b,c)";" B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,""v)""""";102293;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Forurensing > Terrestrisk > Næringssalter og organiske næringsstoffer;"B | Ko | SM | Å"",,";;;
"N/131650;Alchemilla faeroensis;;EN;""D1"";145836;N;Karplanter;;A | Fl,,,,,,,,,,,,";;;;;;;;;
"N/102845;Epilobium laestadii;lappmjølke;EN;""B2a(i)b(ii,iii,""iv)""""";102845;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"V"",,,,,,,,,,";;;;
"N/101368;Atriplex longipes;skaftmelde;EN;""A4(c)"";101367;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;F,,,,,,,,,,,,";;;;;;;;;
"N/99851;Luzula nivalis;snøfrytle;EN;""B2a(i)b(ii,iii,iv,""v)""""";99851;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,";;;;
"N/101372;Atriplex hastata;flikmelde;EN;""B2a(i)b(i,ii,iii,iv,v)c(iii,""iv)""""";145670;N;Karplanter;Ukjent;"F"",,,,,,,";;;;
"N/102010;Ononis spinosa procurrens;krypbeinurt;EN;""B2a(i)b(i,ii,iii,""iv)""""";145718;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Ky | B"",,,,,,,,,";;;;
"N/103062;Papaver lapponicum;kolavalmue;EN;""B1a(ii)b(ii,iv,v)+2a(ii)b(ii,iv,""v)";" C1""""";103062;N;Karplanter;Ukjent;"Fl | B"",,,,,,,,";;;
"N/143539;Pilosella peteriana;gaffelsveve;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";143539;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift;"SM"",,,,,,,,";;;;
"N/143528;Pilosella dimorphoides;grenmarsveve;EN;""B1a(ii)b(i,ii,iii,iv,v)+2a(ii)b(i,ii,iii,iv,""v)""""";143528;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;"B | S"",,,,";;;;
"N/101023;Myosotis discolor;perleforglemmegei;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";101023;N;Karplanter;"Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.)";B | SM,,,,,,;;;;
"N/99490;Coeloglossum viride islandicum;islandsgrønnkurle;EN;""B1a((i),ii)b(iii,v)+2a((i),ii)b(iii,""v)""""";99490;N;Karplanter;Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Skogplanting | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Fremmede arter > Konkurrenter;"Ky | V"",,,,,,,,";;;;
"N/143536;Pilosella moechiadia;bakkesveve;EN;""B2a(i)b(iii)"";143536;N;Karplanter;Ukjent;Ko | SM,,,,,,,,,,,,";;;;;;;;;
"N/101446;Arenaria humifusa;dvergarve;EN;""B2a(i)b(iii)"";101446;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;A,,,,,,,,,,,,";;;;;;;;;
"N/101816;Pyrola rotundifolia maritima;sandvintergrønn;EN;""B1a(ii)b(iii,iv,v)+2a(ii)b(iii,iv,""v)""""";101816;N;Karplanter;Påvirkning fra stedegne arter > Konkurrenter | Fremmede arter > Konkurrenter | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Ky"",,,,,,,,";;;;
"N/100158;Poa lindebergii;knutshørapp;EN;""A4(a,b,""c)""""";100158;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,,";;;;
"N/100861;Taraxacum dovrense;dovreløvetann;EN;""B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,""v)""""";100861;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,";;;;
"N/100860;Taraxacum crocodes;aursundløvetann;EN;""B2a(i)b(iii); D1"";100860;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier, broer, flyplasser mm.)";V | Fl,,,,,,,,,,;;;;;;;;
"N/100874;Taraxacum tornense;lapplandsløvetann;EN;""D1"";100874;N;Karplanter;;B | A,,,,,,,,,,,,";;;;;;;;;
"N/99462;Tractema verna;kystblåstjerne;EN;""B2a(i)b(iii,""iv)""""";99462;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | SM"",,,,,,,,,,,";;;;
"N/100867;Taraxacum norvegicum;finnmarksløvetann;EN;""B1a(i)b(iii)+2a(i)b(iii)"";100867;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag | Påvirkning på habitat > Landbruk > Opphørt/redusert drift;B | SM,,,,,,,,,,,,";;;;;;;;;
"N/99876;Aira caryophyllea;hvitsmyle;EN;""B1a(i)c(iv)+2a(i)c(iv)"";99876;N;Karplanter;Andre;B | S,,,,,,,,,,,,";;;;;;;;;
"N/103951;Calamistrum globuliferum;trådbregne;EN;""B2a(i)b(i,ii,iii,iv,""v)c(iv)""""";143450;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring"", dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Forurensing > Terrestrisk > Næringssalter og organiske næringsstoffer | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Deponering (dumping, utfyllinger og avfallsdeponier)";L | Fl,,,,,;;;;
"N/99390;Zostera noltii;dvergålegras;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";141640;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i marine miljø > Mudring"", dumping og utfyllinger i strandsonen (inkl. moloer og havneanlegg) | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Åpning av innløp til poller | Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.) | Forurensing > I vann > Næringssalter og organiske næringstoffer | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier, broer, flyplasser mm.)";M,,,,,;;;;
"N/103305;Drymocallis rupestris;hvitmure;EN;""B1a(i)b(iii)+2a(i)b(iii); C2a(i)"";103305;N;Karplanter;Menneskelig forstyrrelse > Innsamling | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier, broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging | Fremmede arter > Konkurrenter";B | SM,,,,,,,,,,;;;;;;;;
"N/102186;Gentianella amarella septentrionalis;jærsøte;EN;""B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,""v)""""";102186;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Ky | SM"",,,,";;;;
"N/103008;Ceratocapnos claviculata;klengelerkespore;EN;""B2a(i)b(i,ii,iv,""v)c(iv)""""";103008;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | Ky"",,,,,,,,,";;;;
"N/99746;Cladium mariscus;storak;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";99746;N;Karplanter;Andre;"V"",,,,,,,,";;;;
"N/101189;Draba cacuminum angusticarpa;nordlig tinderublom;EN;""C2a(i)"";101189;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;A,,,,,,,,,,,,";;;;;;;;;
"N/101956;Lathyrus palustris;myrflatbelg;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";101956;N;Karplanter;"Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Deponering (dumping"", utfyllinger og avfallsdeponier)";F | V | Fl | SM | Ko,,,,,,,;;;;
"N/99767;Eriophorum gracile;småmyrull;EN;""A4(a,b,c)";" B2a(i)b(ii,iii,iv,""v)""""";99767;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting);"V"",,,,,,,";;;
"N/100741;Logfia minima;gaffelullurt;EN;""B1a(i,ii)b(i,ii,iii,iv,v)c(iv)+2a(i,ii)b(i,ii,iii,iv,""v)c(iv)";" C2a(i)b""""";100741;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.)";B | Ko;;;
"N/101881;Primula stricta obesior;normansnøkleblom;EN;""B2a(i)b(i,ii,iv,""v)""""";101881;N;Karplanter;Ukjent;"A | F | Fl"",,,,,,,,,";;;;
"N/101957;Lathyrus palustris palustris;snau myrflatbelg;EN;""A4(a,b,c)";" B2a(i)b(i,ii,iii,iv,""v)""""";101957;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"F | V | Fl"",,,,,,";;;
"N/101936;Hippocrepis emerus;buskvikke;EN;""A4(a,b,""c)""""";101936;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Utvinning (gruvedrift og steinbrudd) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Rassikring";B | S,,,,,,,,;;;;
"N/99485;Cephalanthera rubra;rød skogfrue;EN;""B2a(i)b(ii,iii,iv,""v)";" D1""""";99485;N;Karplanter;Høsting > Flora-/faunakriminalitet | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Flatehogst;"B | S"",,,,,,,,,";;;
"N/103461;Rubus vestitus;fløyelsbjørnebær;EN;""D1"";103461;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift;SM,,,,,,,,,,,,";;;;;;;;;
"N/100986;Asperugo procumbens;gåsefot;EN;""B2b(ii,iii,iv,""v)c(iv)""""";100986;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | S | F | Ko | Å"",,,,,,,,,";;;;
"N/101530;Sagina caespitosa;stuttsmåarve;EN;""B2a(i)b(ii,iii,iv,""v)""""";101530;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,";;;;
"N/99761;Eleogiton fluitans;flytesivaks;EN;""D1"";99761;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring, dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Forurensing > I vann > Næringssalter og organiske næringstoffer";L,,,,,,,,,,;;;;;;;;
"N/100724;Leontodon hispidus;lodneføllblom;EN;""A4(a,c)";" B1a(i,ii)b(i,ii,iii,iv,v)+2a(i,ii)b(i,ii,iii,iv,""v)""""";100724;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Ky | SM"",";;;
"N/99802;Trichophorum pumilum;krypsivaks;EN;""B2a(i)b(iii)"";99802;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Oppdyrking | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Utvinning (gruvedrift og steinbrudd);V | A | SM,,,,,,,,,,,,";;;;;;;;;
"N/101010;Lappula squarrosa;sprikepiggfrø;EN;""B1b(i,ii,iii,iv,v)c(iv)+2b(i,ii,iii,iv,""v)c(iv)""""";143495;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B | Ko | SM | Å"",,,,";;;;
"N/102488;Callitriche brutia;stilkvasshår;EN;""B1a(ii)c(iv)+2a(ii)c(iv)"";102488;N;Karplanter;Forurensing > I vann > Næringssalter og organiske næringstoffer | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Mudring, dumping og utfyllinger i strandsonen (inkl. moloer og havneanlegg)";F,,,,,,,,,,,;;;;;;;;
"N/102242;Geranium dissectum;åkerstorkenebb;EN;""B1a(ii)b(ii,iii,iv,v)+2a(ii)b(ii,iii,iv,""v)""""";102242;N;Karplanter;Forurensing > Terrestrisk > Næringssalter og organiske næringsstoffer | Påvirkning på habitat > Landbruk > Jordbruk;"Å | SM | Ko"",,,,,,";;;;
"N/99619;Carex bicolor;hvitstarr;EN;""B2a(i)b(ii,iii,""iv)""""";99619;N;Karplanter;Klimatiske endringer > Regionale > Endringer i nedbørsmengde | Klimatiske endringer > Regionale > Temperaturendring | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"A | Fl | I"",,,,,,,,,,";;;;
"N/101593;Stellaria fennica;finnstjerneblom;EN;""B1a(ii)b(iii)+2a(ii)b(iii)"";101593;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite;V | Fl,,,,,,,,,,,,";;;;;;;;;
"N/100496;Centaurea phrygia;bustknoppurt;EN;""A4(a,b,c)";" B2a(i,ii)b(i,ii,iii,iv,""v)";" C2a(i)""""";100496;N;Karplanter;Påvirkning fra stedegne arter > Hybridisering | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"SM | Ko"",,,,,";;
"N/102975;Rumex maritimus;fjærehøymol;EN;""B1a((i))b(ii,iii,iv,v)c(iii,iv)+2a((i))b(ii,iii,iv,v)c(iii,""iv)";" D1""""";102973;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"F | Fl"",,,,";;;
"N/101738;Scabiosa columbaria;bakkeknapp;EN;""D1"";101738;N;Karplanter;;B,,,,,,,,,,,,";;;;;;;;;
"N/103656;Saxifraga hirculus;myrsildre;EN;""A4(a,b,c)";" B1a(i)b(i,ii,iii,iv,v)+2a(i)b(i,ii,iii,iv,""v)""""";103656;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Annen påvirkning på habitat > Motorferdsel | Ukjent | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.)";V;;;
"N/103930;Cystopteris sudetica;sudetlok;EN;""B1a(i)b(ii,iii,iv)+2a(i)b(ii,iii,""iv)""""";103930;N;Karplanter;Klimatiske endringer > Lokale > Endringer i lokale lysforhold | Klimatiske endringer > Lokale > Endringer i lokale temperaturforhold | Klimatiske endringer > Lokale > Endrede lokale fuktighetsforhold | Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Flatehogst | Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Skogsbilveier | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Treslagskifte;"B | S"",,,,,,,,";;;;
"N/99339;Najas marina;stivt havfruegras;EN;""B1b(ii,iii,iv,v)c(iv)+2b(ii,iii,iv,""v)c(iv)""""";99339;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring"", dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Mudring, dumping og utfyllinger i strandsonen (inkl. moloer og havneanlegg) | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Åpning av innløp til poller";M | L,,,;;;;
"N/101295;Rorippa islandica;islandskarse;EN;""B1b(iii)c(iv)+2b(iii)c(iv)"";101295;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;F | Fl | V,,,,,,,,,,,,";;;;;;;;;
"N/103845;Diphasiastrum tristachyum;grannjamne;EN;""A4(b,c)";" B2a(i,ii)b(i,ii,iii,iv,""v)""""";103845;N;Karplanter;"Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Flatehogst | Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Motorferdsel | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Masseuttak (leire"", sand og grustak)";S,,,,,;;;
"N/102922;Persicaria foliosa;evjeslirekne;EN;""B2a(i)b(i,ii,iii,iv,""v)c(iv)""""";102922;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Tråkk og motorferdsel;"Fl"",,,,,,,,";;;;
"N/99717;Carex riparia;kjempestarr;EN;""B2a(i)b(ii,iii,iv,""v)""""";99717;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer"", bekkelukking og tørrlegging | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Deponering (dumping, utfyllinger og avfallsdeponier)";V | Fl,,,,,,,;;;;
"N/101188;Draba cacuminum;tinderublom;EN;""B2a(i)b(ii,iii,iv,""v)""""";101188;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;"I | A"",,,,,,,,,";;;;
"N/102274;Ajuga reptans;krypjonsokkoll;EN;""B1a(ii)b(iii,v)+2a(ii)b(iii,""v)""""";102274;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning fra stedegne arter > Hybridisering;"S"",,,,,,,,,,";;;;
"N/99531;Lysiella oligantha;sibirnattfiol;EN;""B2a(i)b(ii,iii,""iv)";" D1""""";99531;N;Karplanter;"Høsting > Flora-/faunakriminalitet | Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.) | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.)";B | A,,,,,,,,;;;
"N/100412;Antennaria nordhageniana;gaissakattefot;EN;""B1a(i)b(iii)+2a(i)b(iii)"";100412;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring | Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.);A,,,,,,,,,,,,";;;;;;;;;
"N/99779;Isolepis setacea;bustsivaks;EN;""B2a((i))b(i,ii,iii,iv,""v)c(iv)""""";99779;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Tråkk og motorferdsel | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Lyngbrenning | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Opphørt drift > Opphørt tråkk og motorferdsel;"Fl | SM"",,,,,,,,";;;;
"N/102108;Vicia pisiformis;ertevikke;EN;""B1a(i)b(ii,iii,iv,v)+2a(i)b(ii,iii,iv,""v)""""";102108;N;Karplanter;"Påvirkning på habitat > Landbruk > Skogbruk/avvirkning > Flatehogst | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier"", broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Rassikring";B | S,,,,;;;;
"N/101564;Silene noctiflora;nattsmelle;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";101564;N;Karplanter;Påvirkning på habitat > Landbruk;"B | Å | Ko"",,,,,,,,";;;;
"N/103913;Polypodium interjectum;myk sisselrot;VU;""A4(a,c,""e)""""";103913;N;Karplanter;Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Skogplanting | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Utvinning (gruvedrift og steinbrudd) | Påvirkning fra stedegne arter > Konkurrenter;"B | S"",,,,,,,,,,";;;;
"N/103392;Rosa inodora;kystrose;VU;""D2"";103392;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;B | S,,,,,,,,,,,,";;;;;;;;;
"N/99991;Deschampsia cespitosa glauca;elvebunke;VU;""B2a((i))b(ii,iii,""iv)""""";99991;N;Karplanter;"Påvirkning på habitat > Landbruk > Buskap/dyrehold > Tråkk | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Vannløpsendring (flomhindring"", kanalisering, utretting, moloer, terskler mm.)";Fl,,,,,,;;;;
