Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/103971;Botrychium matricariifolium;huldrenøkkel;CR;""C2a(i)"";103971;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;Ky | S | SM,,,,,,,,,,,,";;;;;;;;;
"N/102306;Lamiastrum galeobdolon montanum;skoggulltvetann;CR;""B1a(ii)b(iii)+2a(ii)b(iii); C2a(ii); D1"";102306;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier, broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging";S,,,,,,,,,,;;;;;;;;
"N/143664;Eurybia sibirica subintegerrima;sibirstjerne;CR;""B1a(ii)b(v)+2a(ii)b(v)"";143664;N;Karplanter;Høsting > Flora-/faunakriminalitet | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag;Fl,,,,,,,,,,,,";;;;;;;;;
"N/100223;Vulpia bromoides;ekornsvingel;CR;""B1b(iii)c(iv)"";100223;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;B | SM,,,,,,,,,,,,";;;;;;;;;
"N/102303;Lamiastrum galeobdolon;gulltvetann;CR;""B1a(ii)b(iii)+2a(ii)b(iii); C2a(ii); D1"";102303;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Infrastruktur (veier, broer, flyplasser mm.) | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Industri/næringsutbygging | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging";S,,,,,,,,,,;;;;;;;;
"N/100265;Angelica archangelica maiorum;vossakvann;CR;""C2a(i); D1"";100265;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift;SM,,,,,,,,,,,,";;;;;;;;;
"N/99524;Herminium monorchis;honningblom;CR;""C2a(ii); D1"";99524;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;F | V,,,,,,,,,,,,";;;;;;;;;
"N/102389;Thymus serpyllum serpyllum;smaltimian;CR;""B1a(ii)b(iii)+2a(ii)b(iii); D1"";102389;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift;B,,,,,,,,,,,,";;;;;;;;;
"N/99407;Allium fistulosum;pipeløk;CR;""C2a(i); D1"";99407;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Endret bygningstruktur (mangel på høyløer, staller, jordkjellere, rest mm.)";B | Ko,,,,,,,,,;;;;;;;;
"N/103422;Rubus glauciformis;lyngdalsbjørnebær;CR;""D1"";103422;N;Karplanter;;S | Ko,,,,,,,,,,,,";;;;;;;;;
"N/102200;Asperula tinctoria;fargemyske;CR;""D1"";102200;N;Karplanter;;B,,,,,,,,,,,,";;;;;;;;;
"N/99330;Butomus umbellatus;brudelys;CR;""D1"";99330;N;Karplanter;;L,,,,,,,,,,,,";;;;;;;;;
"N/103457;Rubus stereacanthos;filtbjørnebær;CR;""D1"";141638;N;Karplanter;;S,,,,,,,,,,,,";;;;;;;;;
"N/103432;Rubus lindleianus;bustbjørnebær;CR;""D1"";141636;N;Karplanter;;B,,,,,,,,,,,,";;;;;;;;;
"N/100512;Cirsium acaulon;dvergtistel;CR;""D1"";141624;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Boligbebyggelse/boligutbygging;B,,,,,,,,,,,,";;;;;;;;;
"N/102445;Odontites vernus;åkerrødtopp;CR;""B1a(ii)c(iv)+2a(ii)c(iv); D1"";145717;N;Karplanter;;Ko | Ky | Å,,,,,,,,,,,,";;;;;;;;;
"N/103257;Aphanes australis;dvergmarikåpe;CR;""B1b(iii)c(iv)"";103257;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Forurensing > Terrestrisk > Næringssalter og organiske næringsstoffer;B | SM,,,,,,,,,,,,";;;;;;;;;
"N/100808;Serratula tinctoria;jærtistel;CR;""B1a(ii)b(iii,iv,""v)""""";100808;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;"SM"",,,,,,,,,,";;;;
"N/101464;Cerastium blyttii;dovrearve;CR;""C2a(ii); D1"";101464;N;Karplanter;Klimatiske endringer > Regionale > Temperaturendring;A,,,,,,,,,,,,";;;;;;;;;
"N/100197;Sesleria caerulea;svenskegras;CR;""D1"";100197;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;B,,,,,,,,,,,,";;;;;;;;;
"N/99903;Arctophila fulva;hengegras;CR;""C2a(i); D1"";99903;N;Karplanter;Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite | Forurensing > I vann > Næringssalter og organiske næringstoffer;L | Fl,,,,,,,,,,,,";;;;;;;;;
"N/100345;Oenanthe aquatica;hestekjørvel;CR;""D1"";100345;N;Karplanter;Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting);L | F,,,,,,,,,,,,";;;;;;;;;
"N/100893;Tephroseris integrifolia;finnmarkssvineblom;CR;""B1a(ii)b(iii,iv,""v)";" D1""""";100893;N;Karplanter;Påvirkning fra stedegne arter > Påvirker habitatet (beite tråkk mm.) | Påvirkning på habitat > Landbruk > Buskap/dyrehold > Beite | Andre;"Ky | B | A | SM"",,,,,,,,,,";;;
"N/99375;Zannichellia major;storvasskrans;CR;""D1"";143576;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring, dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Mudring, dumping og utfyllinger i strandsonen (inkl. moloer og havneanlegg) | Påvirkning på habitat > Habitatpåvirkning i marine miljø > Åpning av innløp til poller";L | F,,,,,,,,,;;;;;;;;
"N/101235;Hornungia petraea;kalkkarse;CR;""B1b(i,ii,iii,iv,""v)c(iv)""""";101235;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"B"",,,,,,,,";;;;
"N/103222;Alchemilla baltica;baltermarikåpe;DD;"""";103222;N;Karplanter;;,,,,,,,,,,,,";;;;;;;;;
"N/103248;Alchemilla xanthochlora;kystmarikåpe;EN;""A4(b,c)";" B2a(i)b(ii,iii,""iv)""""";103248;N;Karplanter;Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Å | SM | Ko"",,,,,,,,,";;;
