Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
231339;metallfibbla;Hieracium metaliceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231800;;Hieracium micracladioides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231802;;Hieracium microcodon;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231341;bläckfibbla;Hieracium microcymon;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)
231804;;Hieracium microstictum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231805;;Hieracium mimeticum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231806;kristiansfibbla;Hieracium minimidens;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231807;ärnäsfibbla;Hieracium molucratum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231808;strängnäsfibbla;Hieracium molybdinoides;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231810;;Hieracium monochroum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231811;;Hieracium monstrosum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
251316;snipfibbla;Hieracium mucrodentatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B2ab(ii,iii,iv,v); C2a(i)"
231813;;Hieracium mucroniferum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231814;hårig triangelfibbla;Hieracium multisigne;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;C2a(i)
251317;vikarbyfibbla;Hieracium mundulifolium;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231815;nubbfibbla;Hieracium mundulum;kärlväxt;Art;0;Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231817;slingerfibbla;Hieracium mutabundum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231818;blåbärsfibbla;Hieracium myrtillinum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231820;;Hieracium naevium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231345;fläckig vägfibbla;Hieracium naevosiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231822;;Hieracium nastum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231823;sågfibbla;Hieracium neoserratifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231824;;Hieracium nepheloides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231825;smedfibbla;Hieracium neritodon;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231826;mörk krattfibbla;Hieracium nigricanticeps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231827;;Hieracium nigrisquameum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231828;;Hieracium nigritipes;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231829;svartblå fibbla;Hieracium nigrocyaneum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231830;svartbrun fibbla;Hieracium nigrofuscum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231831;;Hieracium nigroolivaceum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231833;;Hieracium nigroviridiceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231834;;Hieracium niveicuspis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231835;;Hieracium niveoornatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231348;;Hieracium nordstroemii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
266137;västkustfibbla;Hieracium norvegicum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;NT;D1
231837;;Hieracium nuoliense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231838;;Hieracium nymphaeatiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231839;;Hieracium nymphaeatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231840;;Hieracium obellipticum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231841;rännebergsfibbla;Hieracium oblanceolatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231842;vätterfibbla;Hieracium obliquifolium;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231844;ruskåsfibbla;Hieracium obovatifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231350;mörkbladig fibbla;Hieracium obrigens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231846;;Hieracium obtusifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231847;;Hieracium obtusius;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;D1
231848;vågfibbla;Hieracium obtusoserratum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231849;svarthårig fibbla;Hieracium obversiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231851;bred älvdalsfibbla;Hieracium ochrochlorum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231852;sälenfibbla;Hieracium ocriophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
251464;östmanfibbla;Hieracium oestmanii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231853;;Hieracium offerdalense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231854;blixtfibbla;Hieracium offulgens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231855;;Hieracium ohlsenii;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231352;sveafibbla;Hieracium oinopolepis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231856;trollfibbla;Hieracium oistophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231353;;Hieracium oleosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
251466;tvillingfibbla;Hieracium oligasterum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231857;mattbladig fibbla;Hieracium oligochnoum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231858;vinkeltandsfibbla;Hieracium oligogonium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231859;fåfjällig fibbla;Hieracium oligolepium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;C2a(i)
231860;;Hieracium oligopolium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231355;;Hieracium oligostictum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231861;;Hieracium oligozum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231356;njurundafibbla;Hieracium olliceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
266134;åsnefibbla;Hieracium onosmoides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;C2a(i)
231862;;Hieracium onychodontum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231863;grytnäsfibbla;Hieracium opaciceps;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231864;mångtandad hällfibbla;Hieracium opeatodontum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231358;fjällrufsfibbla;Hieracium opochloroides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231359;trubbfibbla;Hieracium opochlorum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231179;;Hieracium orarium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231866;ängersjöfibbla;Hieracium orbicantiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231867;;Hieracium orbiculatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
266122;uppländsk klippfibbla;Hieracium oreades;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;"B2ab(i,ii,iii,iv,v); C2a(i)"
231360;hårig smyckefibbla;Hieracium ornatiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231868;;Hieracium ornatissimum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231361;smyckefibbla;Hieracium ornatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;"B2ab(ii,iii,iv,v); C2a(i)"
231362;;Hieracium orphnocephalum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231363;orsafibbla;Hieracium orsense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231364;rodnande fibbla;Hieracium orthocolon;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231871;osmundsfibbla;Hieracium osmundaceum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231872;;Hieracium otophorum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;B2a
266135;ängelsbergsfibbla;Hieracium oxymorphum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse;DD;
231874;grovstjälkig fibbla;Hieracium pachycalamum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;B1ab(ii,iii,iv,v)
231875;knubbfibbla;Hieracium pachycranum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231365;ljus klibbfibbla;Hieracium paeminosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231878;;Hieracium papillosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231366;aspelandsfibbla;Hieracium paralium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2a
231879;;Hieracium parallelisquameum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231880;dysterfibbla;Hieracium paramaurum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(ii,iii,iv,v)
231881;sköldfibbla;Hieracium parmiferum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231882;mörkhövdad fibbla;Hieracium parmulatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231883;;Hieracium parvulifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231885;;Hieracium paucidentatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231367;;Hieracium paurophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231886;kamfibbla;Hieracium pectinatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231888;mörk slokfibbla;Hieracium penduliforme;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231889;;Hieracium penduloides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231891;;Hieracium peracutum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231893;snibbfibbla;Hieracium percrenatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231894;smalfibbla;Hieracium perelegans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231895;;Hieracium perexpansum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231896;grovtandad fibbla;Hieracium perlaxum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(ii,iii,iv,v)
231898;;Hieracium pertenuatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231369;;Hieracium pertinacifolium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231370;liten klapperfibbla;Hieracium pexum;kärlväxt;Art;0;Skog (S) - Stor betydelse;VU;D1
231371;vippfibbla;Hieracium phaedrophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231899;spetsfjällig trollfibbla;Hieracium phaeocomoides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231372;;Hieracium phaeodermum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231373;hög klibbfibbla;Hieracium phaeopsis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231903;;Hieracium phalarograptum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231904;limbergsfibbla;Hieracium phaleratum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v); C2a(i)"
231374;hårfibbla;Hieracium phaliotrichum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231905;fiolfibbla;Hieracium philanthracinum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231375;vingfibbla;Hieracium pholidotum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231376;hetserydsfibbla;Hieracium phrygionium;kärlväxt;Art;0;Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231908;;Hieracium pilulicuspis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231909;;Hieracium placerum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231910;möfibbla;Hieracium placibile;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231911;arfibbla;Hieracium planifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); D"
231913;;Hieracium platyanthelum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231914;mjösjöfibbla;Hieracium platybasis;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231915;horrmundsfibbla;Hieracium platygastor;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231916;hoforsfibbla;Hieracium platylonchum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231917;plattfibbla;Hieracium platysemum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231918;;Hieracium plicatifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231919;;Hieracium plumbeolum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231920;gunnarsnäsfibbla;Hieracium plumuligerum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); D"
231380;;Hieracium poecilodermum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231921;;Hieracium poliosteleum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231381;;Hieracium poliotrachelum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231922;bågfibbla;Hieracium polycampylum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231923;;Hieracium polycritum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231924;krusfibbla;Hieracium polycymum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231925;;Hieracium polyglochin;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231927;;Hieracium polyleucum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231928;närkefibbla;Hieracium polypelium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i); D"
231382;slitsfibbla;Hieracium polyschistomorphum;kärlväxt;Art;0;Skog (S) - Stor betydelse;CR;B2ab(ii,iii,iv,v)
231383;;Hieracium polystilbum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B1a+2a
231929;;Hieracium porphyritifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231930;;Hieracium porphyrostictum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
266118;furstefibbla;Hieracium praecellans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231931;;Hieracium praecinereum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
267056;;Hieracium praefarinosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;DD;
231386;korthårig fibbla;Hieracium praepilulatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); C2a(i)"
231933;nystfibbla;Hieracium praetusum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231387;silkesfibbla;Hieracium praeviride;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231935;;Hieracium prasinescens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231936;;Hieracium prasinochroum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
267057;;Hieracium prasiophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;DD;
251811;uppsalafibbla;Hieracium praviforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231937;buckelfibbla;Hieracium pravifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231390;väskindefibbla;Hieracium prolatatum;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;D
231391;oskarshamnsfibbla;Hieracium prolatescens;kärlväxt;Art;0;Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231392;värmdöfibbla;Hieracium prolinguatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231940;hårig klenfibbla;Hieracium propinquum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231941;;Hieracium protractifolium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231942;;Hieracium protractifrons;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231943;;Hieracium proversiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231944;vimpelfibbla;Hieracium proversum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231948;norsk spädfibbla;Hieracium pseudodiminuens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231949;;Hieracium pseudogaeutaense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231950;gunnarfibbla;Hieracium pseudoincrassans;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231951;indalsfibbla;Hieracium pseudolaeticeps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
266133;getfibbla;Hieracium pseudonosmoides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231952;;Hieracium pseudopachyodon;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231394;hög rufsfibbla;Hieracium pseudoplicatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(ii,iii,iv,v)
231953;;Hieracium pseudoringselense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231954;gulstiftig krattfibbla;Hieracium pseudoscioides;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231955;;Hieracium pseudostenolepis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;D1
231395;blå stenfibbla;Hieracium psilodorum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231956;;Hieracium psiloloma;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;CR;D
231957;;Hieracium psilurum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;B2a
231958;;Hieracium psittacinum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;CR;D
231959;stegfibbla;Hieracium pteropodium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i); D"
231961;;Hieracium ptilophorum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231396;huskvarnafibbla;Hieracium pubicuspis;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231962;;Hieracium pulchriceps;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231475;;Hieracium pulveraceum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231964;;Hieracium pulvericeps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
