Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
266121;grov klippfibbla;Hieracium gigantocybe;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse;EN;C2a(i)
231691;gulgrå fibbla;Hieracium gilvocaniceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;B2ab(ii,iii,iv,v)
231692;aspfibbla;Hieracium glandulosissimum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); C2a(i)"
231693;;Hieracium glaucinifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
251462;späd fetfibbla;Hieracium gracilifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231696;;Hieracium grandidentiforme;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231697;;Hieracium grandifoliatum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231698;;Hieracium grandiserratum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231699;gripfibbla;Hieracium gripharium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231700;;Hieracium griphodes;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231284;;Hieracium grophosiceps;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;D
231285;grov stenfibbla;Hieracium grophosum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2a
266131;guldbergsfibbla;Hieracium guldbergense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse;DD;
231702;;Hieracium guttatifrons;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231703;vass krattfibbla;Hieracium gymnocentrum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231705;habofibbla;Hieracium haboense;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231706;hägerströmsfibbla;Hieracium haegerstroemii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
251307;gotländsk tallfibbla;Hieracium hangvarense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v); D"
