Species,IUCN
Hippuris vulgaris L.,EN
Hordeum geniculatum All.,CR
Hornungia petraea (L.) Rchb.,LC
Hottonia palustris L.,NT
Hydrocotyle vulgaris L.,VU
Hypericum carpaticum Mártonfi,DD
"Hypericum dubium Leers (syn. H. maculatum subsp.obtusiusculum (Tourlet) Hayek)",DD
Hypericum elegans Stephan ex Willd.,CR
Hypericum humifusum L.,NT
Hypochaeris glabra L.,RE
Illecebrum verticillatum L.,RE
Inula germanica L.,NT
Inula oculus-christi L.,NT
Inula salicina subsp. aspera (Poir. ex Lam.) Hayek,EN
Inula salicina subsp. sabuletorum (Czern. ex Lavrenko) Soják,CR
Iris aphylla subsp. hungarica (Waldst. et Kit.) Hegi,VU
Iris arenaria Waldst. et Kit.,CR
Iris graminea L. subsp. graminea,NT
Iris graminea subsp. pseudocyperus (Schur) Soó,NT
Iris pumila L. subsp. pumila,NT
Iris sibirica L.,NT
Iris spuria L. subsp. spuria,VU
Iris variegata L.,VU
Isatis campestris Steven ex DC. (syn. I. maeotica DC.),EN
Isatis praecox subsp. transsilvanica (Simonk.) Simonk.,VU
Isolepis setacea (L.) R. Br.,VU
Jasione montana L.,LC
Juncus acutiflorus Ehrh. ex Hoffm.,CR
Juncus alpinoarticulatus Chaix subsp. alpinoarticulatus,NT
Juncus atratus Krock.,VU
Juncus bulbosus L. subsp. bulbosus,NT
Juncus bulbosus subsp. kochii (F.W. Schultz) Reichg.,DD
Juncus capitatus Weigel,CR
Juncus castaneus Sm.,CR
Juncus filiformis L.,LC
Juncus gerardii Loisel. subsp. gerardii,VU
"Juncus ranarius Songeon et Perr. (syn. J. ambiguus auct. nonGuss.)",DD
Juncus sphaerocarpus Nees,VU
Juncus squarrosus L.,VU
Juncus subnodulosus Schrank,CR
Juncus thomasii Ten.,RE
Juncus triglumis L.,VU
Juniperus sabina L.,EN
Jurinea mollis subsp. macrocalathia (K. Koch) Soó,NA
Jurinea mollis subsp. mollis,NT
Kickxia elatine (L.) Dumort. subsp. elatine,LC
Kickxia spuria (L.) Dumort. subsp. spuria,LC
Knautia drymeia Heuff. subsp. drymeja,NT
"Kobresia myosuroides (Vill.) Fiori (syn. Elyna myosuroides(Vill.) Fritsch)",VU
Kobresia simpliciuscula (Wahlenb.) Mack.,VU
Koeleria glauca (Spreng.) DC.,NT
Koeleria tristis Domin,NT
Lactuca perennis L.,NT
Lactuca quercina L.,NT
Lactuca saligna L.,VU
"Lappula heteracantha subsp. heterocarpa (Klokov etArtemczuk) Holub",EN
Lapsana communis subsp. intermedia (M. Bieb.) Hayek,VU
Laser trilobum (L.) Borkh.,NT
Laserpitium archangelica Wulfen,LC
Laserpitium prutenicum L.,NT
Lastrea limbosperma (Bellardi ex All.) Holub et Pouzar,NT
Lathyrus aphaca L.,CR(PE)
Lathyrus hirsutus L.,NT
"Lathyrus lacteus (M. Bieb.) Wissjul. (syn. L. pannonicussubsp. collinus (Ortmann) Soó)",NT
Lathyrus laevigatus (Waldst. et Kit.) Gren.,VU
Lathyrus nissolia L. subsp. nissolia,NT
Lathyrus nissolia subsp. futakii Chrtková,CR
Lathyrus nissolia subsp. pubescens (Beck) Soják,LC
Lathyrus palustris L.,VU
Lathyrus pannonicus (Jacq.) Garcke,EN
Lathyrus pisiformis L.,CR
Lathyrus setifolius L.,RE
Lathyrus sphaericus Retz.,RE
Lathyrus transsilvanicus (Spreng.) Fritsch,VU
Lathyrus venetus (Mill.) Wohlf.,VU
Leersia oryzoides (L.) Sw.,LC
Legousia speculum-veneris (L.) Chaix,RE
Leontodon saxatilis Lam.,NT
Leontopodium alpinum Cass.,NT
Leonurus villosus Desf. ex D'Urv.,DD
Lepidium perfoliatum L.,VU
Leucanthemella serotina (L.) Tzvelev,VU
Leucanthemopsis alpina subsp. tatrae (Vierh.) Holub,LC
Leucanthemum margaritae (Gáyer ex Jáv.) Zelený,LC
Leucojum aestivum L.,NT
Leucojum vernum subsp. carpaticum (Spring) O. Schwarz,NT
"Ligularia carpatica (Schott) Pojark. (syn. L. glauca auct. non(L.) A. Hoffm.)",EN
Ligularia sibirica (L.) Cass.,VU
Lilium bulbiferum L. subsp. bulbiferum,NT
Lilium martagon L.,LC
Limodorum abortivum (L.) Sw.,NT
"Limonium gmelinii (Willd.) Kuntze (syn. L. gmelinii subsp.hungaricum (Klokov) Soó)",CR
Limosella aquatica L.,LC
Linaria alpina (L.) Mill.,CR
Linaria arvensis (L.) Desf.,RE
Linaria pallidiflora (Lam.) Valdés,VU
Lindernia procumbens (Krock.) Borbás,VU
Linnaea borealis L.,EN
Linum austriacum L. subsp. austriacum,LC
Linum flavum L.,NT
Linum hirsutum L. subsp. hirsutum,NT
Linum hirsutum subsp. glabrescens (Rochel) Soó,EN
Linum perenne L.,DD
Linum trigynum L.,CR
Liparis loeselii (L.) Rich.,CR
Listera cordata (L.) R. Br.,NT
Listera ovata (L.) R. Br.,LC
Loiseleuria procumbens (L.) Desv.,EN
Lolium remotum Schrank,RE
Lolium temulentum L. subsp. temulentum,CR
Lonicera alpigena L.,VU
Lotus borbasii Ujhelyi,NT
Lotus uliginosus Schkuhr,VU
Ludwigia palustris (L.) Elliott,RE
Lychnis coronaria (L.) Desr.,LC
Lycopodiella inundata (L.) Holub,CR
Lycopodium annotinum L.,LC
Lycopodium clavatum L.,LC
Lycopus exaltatus Ehrh.,LC
"Lysimachia thyrsiflora L. (syn. Naumburgia thyrsiflora (L.)Rchb.)",EN
Lythrum hyssopifolia L.,LC
Lythrum tribracteatum Salzm. ex Spreng.,CR
"Malaxis monophyllos (L.) Sw. (syn. Microstylis monophyllos(L.) Lindl.)",NT
Marrubium peregrinum L.,LC
Marrubium vulgare L.,NT
Marsilea quadrifolia L.,EN
Matteuccia struthiopteris (L.) Tod.,NT
Medicago monspeliaca (L.) Trautv.,VU
Medicago prostrata Jacq.,VU
Medicago rigidula (L.) All.,CR
Melampyrum barbatum Waldst. et Kit. ex Willd.,NT
"Melampyrum bohemicum A. Kern. (syn. M. subalpinum (Jur.)A. Kern.)",EN
Melampyrum cristatum L.,NT
Melampyrum herbichii Woł.,VU
Melica altissima L.,CR
Melilotus altissimus Thuill.,DD
Melilotus macrorrhizus (Waldst. et Kit.) Pers.,VU
Menyanthes trifoliata L.,NT
Minuartia frutescens (Kit. ex Schult.) Tuzson ex Degen,VU
Minuartia glaucina Dvořáková,NT
Minuartia glomerata (M. Bieb.) Degen subsp. pannonica Letz,EN
Minuartia langii (G. Reuss) Holub,LC
"Minuartia pauciflora (Kit. ex Kanitz) Dvořáková (syn. M.gerardii auct. carpat. non Willd.)",LC
Minuartia setacea (Thuill.) Hayek,NT
Minuartia viscosa (Schreb.) Schinz et Thell.,RE
Misopates orontium (L.) Raf.,NT
Moenchia mantica (L.) Bartl. subsp. mantica,RE
Molinia caerulea (L.) Moench,NT
Moneses uniflora (L.) A. Gray,LC
Monotropa hypophegea Wallr.,NT
Montia arvensis Wallr.,CR
Montia fontana L.,CR
Montia hallii (A. Gray) Greene,DD
Muscari neglectum Guss. ex Ten.,DD
Muscari tenuiflorum Tausch,DD
Myagrum perfoliatum L.,CR(PE)
Myosotis caespitosa Schultz,EN
Myosotis decumbens Host,DD
Myosotis discolor Pers. subsp. discolor,VU
Myosotis stenophylla Knaf,VU
Myosurus minimus L.,NT
Myricaria germanica (L.) Desv.,VU
Myriophyllum verticillatum L.,NT
Najas minor All.,VU
Nasturtium officinale L.,EN
"Neotinea tridentata (Scop.) R. M. Bateman, Pridgeon et M. W.Chase (syn. Orchis tridentata Scop.)",NT
"Neotinea ustulata (L.) R. M. Bateman, Pridgeon et M. W.",EN
"Neotinea ustulata subsp. aestivalis (Kümpel) Jacquet etScappat. (syn. Orchis ustulata subsp. aestivalis (Kümpel)Kümpel et Mrkvicka)",NT
Nepeta pannonica L.,NT
Nigella arvensis L.,NT
Nuphar lutea (L.) Sm.,VU
Nymphaea alba L.,VU
Nymphoides peltata (S. G. Gmel.) Kuntze,EN
Odontites vernus (Bellardi) Dumort.,VU
Oenanthe banatica Heuff.,VU
Oenanthe silaifolia M. Bieb. subsp. silaifolia,VU
Oenanthe silaifolia subsp. hungarica (Simon) Bertová,VU
Oenanthe stenoloba Schur,CR(PE)
Onobrychis arenaria (Kit.) DC. subsp. arenaria,NT
Onobrychis montana DC.,VU
Ononis pusilla L.,CR
Ononis repens L.,DD
Onosma arenaria Waldst. et Kit.,CR
Onosma pseudoarenaria subsp. tuberculata (Kit.) Rauschert,EN
Onosma viridis (Borbás) Jáv. (syn. O. tornensis Jáv.),CR
Onosma visianii Clementi,VU
Ophioglossum vulgatum L.,NT
Ophrys apifera Huds.,VU
Ophrys holoserica (Burm. f.) Greuter,CR
Ophrys holubyana András.,VU
Ophrys insectifera L.,NT
Ophrys sphegodes Mill.,CR
Orchis mascula subsp. signifera (Vest) Soó,NT
Orchis militaris L.,NT
Orchis pallens L.,NT
Orchis purpurea Huds.,NT
Orchis spitzelii W. D. J. Koch,EN
Orlaya grandiflora (L.) Hoffm.,NT
Ornithogalum boucheanum (Kunth) Asch.,LC
Ornithogalum brevistylum Wolfner,NT
Ornithogalum kochii Parl.,DD
Ornithogalum comosum Torn.,RE
Ornithogalum divergens Boreau,NT
"Ornithogalum pyrenaicum subsp. sphaerocarpum (A. Kern.)Hegi (syn. O. sphaerocarpum A. Kern.)",CR
Orobanche alsatica Kirschl. (syn. O. bartlingii Griseb.),VU
Orobanche artemisiae-campestris Vaucher ex Gaudin,CR
Orobanche coerulescens Stephan,CR
Orobanche elatior Sutton,CR
Orobanche gracilis Sm.,VU
Orobanche kochii F.W. Schultz,NT
Orobanche lutea Baumg.,NT
Orobanche mayeri (Suess. et Ronniger) Bertsch,VU
Orobanche picridis F. W. Schultz,VU
Orobanche teucrii Holandre,EN
Ostericum palustre (Besser) Besser,CR
Oxytropis campestris DC. subsp. tatrae (Borbás) Dostál,VU
Oxytropis carpatica Uechtr.,NT
Oxytropis halleri Bunge ex W. D. J. Koch subsp. halleri,NT
Oxytropis pilosa (L.) DC. var. hungarica Borbás,EN
Papaver argemone L.,EN
Papaver confine Jord.,EN
Papaver dubium L. subsp. dubium,EN
"Papaver maculosum subsp. austromoravicum (Kubát) Kubát(syn. P. dubium subsp. austromoravicum (Kubát) Hörandl)",NT
Papaver tatricum (A. Nyár.) Ehrend. subsp. tatricum,NT
Papaver tatricum subsp. fatraemagnae Bernátová,EN
Pedicularis comosa L. subsp. comosa,CR
Pedicularis hacquetii Graf,NT
Pedicularis oederi Vahl,LC
Pedicularis palustris L. subsp. palustris,NT
Pedicularis sceptrum-carolinum L.,EN
Pedicularis sylvatica L. subsp. sylvatica,VU
Petrocallis pyrenaica (L.) W. T. Aiton,VU
Petrorhagia saxifraga (L.) Link,LC
Peucedanum arenarium Waldst. et Kit.,CR
Peucedanum carvifolia Vill.,NT
Peucedanum officinale L.,CR
Peucedanum palustre (L.) Moench,NT
Phelipanche arenaria (Borkh.) Pomel,VU
Phelipanche caesia (Rchb.) Soják,DD
Phelipanche purpurea (Jacq.) Soják,NT
Phelipanche ramosa (L.) Pomel,NT
"Phleboanthe laxmannii (L.) Tausch (syn. Ajuga laxmannii (L.)Benth.)",RE
Phlomis tuberosa L.,NT
Pholiurus pannonicus (Host) Trin.,EN
Pilosella cymosa (L.) F. W. Schultz et Sch. Bip.,DD
Pilosella echioides (Lumn.) F. W. Schultz et Sch. Bip.,VU
Pilosella guthnickiana (Hegetschw.) Soják,VU
"P. leucopsilon (Arv.-Touv.) Gottschl. (syn. Pilosellamacrantha auct non. (Ten.) F. W. Schultz et Sch. Bip.)",DD
Pilosella onegensis (Norrl.) Norrl.,DD
Pilosella rothiana (Wallr.) F. W. Schultz et Sch. Bip.,DD
Pinguicula alpina L.,LC
Pinguicula vulgaris L.,NT
Pinus cembra L.,LC
Plantago altissima L.,EN
"Plantago arenaria Waldst. et Kit. (syn. Psyllium arenarium(Waldst. et Kit.) Mirb.)",NT
Plantago atrata subsp. carpatica (Soó) Soó,NT
Plantago major subsp. winteri (Wirtg. ex Geisenh.) W. Ludw.,DD
Plantago maritima subsp. salsa (Pall.) Soják,VU
Plantago tenuiflora Waldst. et Kit.,EN
Plantago uliginosa subsp. leptostachya (Wallr.) Tacik,NT
Platanthera bifolia subsp. latiflora (Drejer) Loejtnant,LC
Platanthera chlorantha (Cust.) Rchb.,NT
Poa granitica Braun-Blanq.,LC
Poa laxa Haenke,LC
Poa margilicola Bernátová et Májovský,EN
Poa nobilis Skalińska,DD
"Poa sejuncta Bernátová, Májovský et Obuch",VU
Podospermum canum C. A. Mey.,NT
Podospermum laciniatum (L.) DC.,CR(PE)
Polycarpon tetraphyllum (L.) L.,EN
Polycnemum arvense L.,VU
Polycnemum heuffelii Láng,CR(PE)
Polycnemum majus A. Braun,NT
Polycnemum verrucosum Láng,NE
Polygala amarella subsp. austriaca (Crantz) Jáv.,NT
Polygonum arenarium Waldst. et Kit. subsp. arenarium,EN
Polygonum bellardii All.,NE
Polygonum graminifolium Wierzb. ex Heuff.,DD
Polygonum patulum M. Bieb.,DD
Polypodium interjectum Shivas,EN
Polystichum braunii (Spenn.) Fée,DD
Potamogeton acutifolius Link,VU
Potamogeton alpinus Balb.,CR
Potamogeton berchtoldii Fieber,LC
Potamogeton compressus L.,RE
Potamogeton gramineus L.,EN
Potamogeton lucens,LC
Potamogeton nodosus Poir.,NT
Potamogeton obtusifolius Mert. et W. D. J. Koch,CR
Potamogeton perfoliatus L.,NT
Potamogeton trichoides Cham. et Schltdl.,NT
Potentilla anglica Laichard.,NT
Potentilla clusiana Jacq.,CR(PE)
Potentilla micrantha Ramond ex DC.,EN
Potentilla patula Waldst. et Kit. subsp. patula,EN
Potentilla pedata Willd. ex Nestl.,EN
Potentilla rupestris L.,NT
Potentilla sterilis (L.) Garcke,CR(PE)
Potentilla tommasiniana F. W. Schultz,NT
Primula auricula subsp. hungarica (Borbás) Soó,LC
Primula farinosa L. subsp. farinosa,VU
Primula halleri subsp. platyphylla O. Schwarz,VU
Primula minima L.,LC
"Pritzelago alpina subsp. dubia (Pawł.) Soják (syn. Hutchinsiaalpina subsp. brevicaulis auct. non (Spreng.) Arcang.)",VU
Prunus fruticosa Pall. (syn. Cerasus fruticosa Pall.),NT
"Prunus padus var. petraea (Tausch) Fiek (syn. P. padus subsp.petraea (Tausch) Pawł. ex Holub.)",NT
Prunus tenella Batsch (syn. Amygdalus nana L.),EN
"Pseudognaphalium luteoalbum (L.) Hilliard et B. L. Burtt (syn.Gnaphalium luteoalbum L.)",CR
Pseudolysimachion incanum subsp. pallens (Host) Trávníček,VU
"Pseudolysimachion maritimum (L.) Á. Löve et D. Löve (syn.P. longifolium (L.) Opiz)",NT
Pseudolysimachion orchideum (Crantz) Wraber,NT
Pseudolysimachion spicatum subsp. fischeri Trávníček,VU
"Pseudolysimachion spurium subsp. foliosum (Waldst. et Kit.)Holub",RE
Pseudorchis albida (L.) Á. Löve et D. Löve,NT
Puccinellia limosa (Schur) Holmb.,DD
Pulegium vulgare Mill.,LC
Pulicaria dysenterica (L.) Bernh. subsp. dysenterica,NT
Pulicaria vulgaris Gaertn.,LC
Pulmonaria angustifolia L.,EN
Pulsatilla grandis Wender.,NT
Pulsatilla patens (L.) Mill.,VU
"Pulsatilla pratensis subsp. bohemica Skalický (syn. P. p.subsp. nigricans auct. non (Störck) Zamelis et Paegle)",NT
"Pulsatilla pratensis subsp. flavescens (Hazsl.) Holub (syn. P.hungarica Soó)",CR
Pulsatilla slavica G. Reuss,NT
Pulsatilla subslavica Futák ex Goliašová,NT
Pulsatilla vernalis (L.) Mill.,EN
Pulsatilla zimmermannii Soó,CR
Pyrola carpatica Holub et Křísa,NT
Pyrola chlorantha Sw.,NT
Pyrola media Sw.,NT
Pyrus nivalis Jacq.,DD
Quercus frainetto Ten.,VU
Quercus pedunculiflora K. Koch,NT
Radiola linoides Roth,CR
Ranunculus alpestris L.,LC
Ranunculus altitatrensis Paclová et Murín,VU
"Ranunculus aquatilis L. (syn. Batrachium aquatile (L.)Dumort.)",NT
Ranunculus arvensis L.,NT
"Ranunculus baudotii Godr. (syn. Batrachium baudotii (Godr.)F. W. Schultz)",VU
Ranunculus carpaticus Herbich,EN
"Ranunculus fluitans Lam. (syn. Batrachium fluitans (Lam.)Wimm.)",DD
Ranunculus glacialis L.,LC
Ranunculus illyricus L.,NT
Ranunculus lateriflorus DC.,VU
Ranunculus lingua L.,VU
Ranunculus millefoliatus Vahl,RE
Ranunculus pedatus Waldst. et Kit.,CR
"Ranunculus peltatus Schrank (syn. Batrachium peltatum(Schrank) J. Presl; B. rhipiphyllum (Bastard ex Boreau)Dumort.)",DD
"Ranunculus penicillatus (Dumort.) Bab. (syn. Batrachiumpenicillatum Dumort.)",DD
Ranunculus polyphyllus Waldst. et Kit. ex Willd.,DD
Ranunculus pseudomontanus Schur,LC
Ranunculus pygmaeus Wahlenb.,EN
Ranunculus reptans L.,CR
"Ranunculus rionii Lagger (syn. Batrachium rionii (Lagger)Nyman)",VU
Ranunculus thora L.,NT
Reseda phyteuma L.,EN
Rhamnus saxatilis Jacq. subsp. saxatilis,EN
Rhinanthus borbasii (Dörfl.) Soó,CR
Rhinanthus rumelicus Velen.,NT
Rhinanthus wagneri Degen,DD
Rhodiola rosea L.,LC
Rhododendron tomentosum Harmaja (syn. Ledum palustre L.),EN
Rhynchospora alba (L.) Vahl,CR
Rorippa pyrenaica (All.) Rchb.,VU
Rosa arvensis Huds.,VU
Rosa glauca Pourr.,EN
Rosa micrantha Borrer ex Sm.,NT
Rumex palustris Sm.,LC
Rumex stenophyllus Ledeb.,NT
Ruscus hypoglossum L.,EN
Sagina apetala Ard. subsp. apetala,CR
"Sagina apetala Ard. subsp. erecta (syn. S. micropetalaRauschert)",DD
Sagina nodosa (L.) Fenzl,VU
Sagina subulata (Sw.) C. Presl,EN
Sagittaria sagittifolia L.,LC
Salix alpina Scop.,LC
Salix hastata L.,LC
Salix helvetica Vill.,LC
Salix herbacea L.,LC
Salix kitaibeliana Willd.,VU
Salix myrtilloides L.,CR
Salix phylicifolia L.,NT
Salix reticulata L.,LC
Salix retusa L.,LC
"Salix rosmarinifolia L. (syn. S. repens subsp. angustifolia(Wulfen) Neumann)",NT
Salix starkeana Willd.,EN
Salvia aethiopis L.,NT
Salvia austriaca Jacq.,NT
Salvinia natans (L.) All.,LC
Samolus valerandi L.,RE
Saussurea alpina L.,NT
Saussurea discolor (Willd.) DC.,NT
Saussurea pygmaea (Jacq.) Spreng.,NT
Saxifraga adscendens L. subsp. adscendens,NT
Saxifraga androsacea L.,LC
Saxifraga bryoides L.,LC
Saxifraga caesia L.,LC
Saxifraga carpatica Sternb.,LC
Saxifraga cernua L.,VU
Saxifraga granulata L. subsp. granulata,NT
Saxifraga hieraciifolia Waldst. et Kit. ex Willd.,LC
Saxifraga moschata subsp. dominii Soó,LC
Saxifraga moschata subsp. kotulae Pawłowska,LC
Saxifraga mutata L.,VU
Saxifraga oppositifolia L. subsp. oppositifolia,LC
Saxifraga retusa Gouan subsp. retusa,LC
Saxifraga rotundifolia L. subsp. rotundifolia,LC
Saxifraga wahlenbergii Ball,LC
Scabiosa canescens Waldst. et Kit.,NT
Scabiosa triandra L.,NT
Scandix pecten-veneris L. subsp. pecten-veneris,CR
Scheuchzeria palustris L.,EN
Schoenoplectus mucronatus (L.) Palla,RE
Schoenoplectus pungens (Vahl.) Palla,DD
Schoenoplectus supinus (L.) Palla,VU
Schoenoplectus tabernaemontani (C. C. Gmel.) Palla,NT
Schoenoplectus triqueter (L.) Palla,CR
Schoenus ferrugineus L.,EN
Schoenus nigricans L.,CR
"Scilla bifolia subsp. buekkensis (Speta) Soó (syn. S. drunensissubsp. buekkensis (Speta) Kereszty, nom. inval.)",LC
Scilla bifolia subsp. spetana (Kereszty) Trávníček,DD
Scirpoides holoschoenus (L.) Soják,NT
Scirpus radicans Schkuhr,EN
Scleranthus perennis L. subsp. perennis,EN
Scleranthus polycarpos L.,NT
Scleranthus verticillatus Tausch,VU
Scopolia carniolica Jacq.,NT
Scorzonera austriaca Willd. subsp. austriaca,NT
Scorzonera hispanica L. subsp. hispanica,NT
Scorzonera humilis L.,NT
Scorzonera parviflora Jacq.,CR
Scorzonera purpurea L.,NT
Scorzonera rosea Waldst. et Kit.,CR
Scrophularia umbrosa Dumort. subsp. umbrosa,NT
Scrophularia umbrosa subsp. neesii (Wirtg.) E. Mey.,NT
Scrophularia vernalis L.,NT
Scutellaria altissima L.,EN
Scutellaria hastifolia L.,NT
Sedum annuum L.,VU
"Selaginella helvetica (L.) Spring. (syn. Lycopodioideshelveticum (L.) Kuntze",NT
Sempervivum carpathicum subsp. heterophyllum (Hazsl.) Letz,VU
"Sempervivum matricum Letz (syn. S. marmoreum auct. nonGriseb.)",VU
Senecio abrotanifolius subsp. carpathicus (Herbich) Nyman,LC
Senecio doria L.,NT
Senecio erucifolius L.,NT
Senecio incanus subsp. carniolicus (Willd.) Braun-Blanq.,LC
Senecio paludosus L. subsp. paludosus,CR
Senecio paludosus subsp. angustifolius Holub,EN
Senecio paludosus subsp. lanatus Holub,RE
Senecio rupestris Waldst. et Kit.,RE
Senecio sarracenicus L.,NT
Senecio ucrianicus Hodálová,NT
Senecio umbrosus Waldst. et Kit.,LC
Serratula lycopifolia (Vill.) A. Kern.,CR
Seseli hippomarathrum Jacq.,NT
Seseli pallasii Besser,EN
Sesleria heufleriana Schur subsp. heufleriana,NT
Sesleria heufleriana subsp. hungarica (Ujhelyi) Deyl,DD
Sesleria sadleriana Janka,CR
"Sesleria uliginosa Opiz ex Bercht. et Seidl. (syn. S. caeruleaauct. non (L.) Ard.)",VU
Sibbaldia procumbens L.,CR
Silaum silaus (L.) Schinz et Thell.,NT
Silene acaulis subsp. exscapa (All.) J. Braun,LC
Silene acaulis subsp. longiscapa (A. Kern. ex Vierh.) Hayek,LC
Silene borysthenica (Gruner) Walters,EN
Silene bupleuroides L. subsp. bupleuroides,EN
Silene conica L. subsp. conica,NT
Silene cretica L.,RE
Silene dichotoma Ehrh.,LC
"Silene donetzica Kleopov (syn. S. donetzica subsp. sillingeri(Hendrych) Šourková)",NT
Silene gallica L.,CR
Silene multiflora (Ehrh.) Pers.,EN
Silene nutans subsp. dubia (Herbich) Zapał.,CR
Silene otites (L.) Wibel subsp. otites,NT
Silene otites subsp. hungarica Wrigley,NT
Silene viridiflora L.,NT
Silene viscosa L.,EN
Sisymbrium austriacum Jacq. subsp. austriacum,VU
Smyrnium perfoliatum L.,NT
Solanum villosum Mill. (syn. S. luteum Mill.),NT
Soldanella carpatica Vierh.,LC
Soldanella hungarica Simonk. subsp. hungarica,LC
Soldanella hungarica subsp. major (Neilr.) Pawłowska,LC
Soldanella pseudomontana F. K. Mey.,CR
Sonchus arvensis subsp. uliginosus (M. Bieb.) Nyman,DD
Sonchus palustris L.,NT
Sorbus amici-petri Mikoláš,EN
Sorbus atrimontis Bernátová et Májovský,EN
Sorbus caeruleomontana Bernátová et Májovský,CR
Sorbus chamaemespilus (L.) Crantz,NT
Sorbus diversicolor Bernátová et Májovský,VU
Sorbus dolomiticola Mikoláš,EN
Sorbus graeca (Spach) Lodd. ex S. Schauer,CR
Sorbus haljamovae Bernátová et Májovský,VU
Sorbus hazslinszkyana (Soó) Májovský,VU
Sorbus margittaiana (Jáv.) Kárpáti,VU
Sorbus montisalpae Bernátová et Májovský,VU
Sorbus pekarovae Májovský et Bernátová,EN
Sorbus salatini Bernátová et Májovský,CR
Sorbus scepusiensis Kovanda,CR
Sorbus zuzanae Bernátová et Májovský,VU
Sparganium angustifolium F. Michx.,EN
Sparganium natans L.,EN
"Spergula maxima Weihe et Boenn. (syn. S. arvensis subsp.maxima (Weihe) O. Schwarz)",RE
Spergula morisonii Boreau,VU
Spergula pentandra L.,CR
Spergularia media (L.) C. Presl,CR
Spergularia salina J. Presl et C. Presl,EN
Spiraea crenata L.,CR(PE)
Spiraea media F. Schmidt subsp. media,LC
Spiranthes aestivalis (Poir.) Rich.,RE
Spiranthes spiralis (L.) Chevall.,CR
Stellaria longifolia Mühlenb. ex Willd.,EN
Stellaria palustris Ehrh. ex Hoffm.,VU
Sternbergia colchiciflora Waldst. et Kit.,CR
Stipa borysthenica Klokov ex Prokudin subsp. borysthenica,EN
Stipa crassiculmis subsp. euroanatolica Martinovský,CR
Stipa dasyphylla (Czern. ex Lindem.) Trautv.,NT
Stipa eriocaulis Borbás,VU
Stipa pennata L. (syn. S. joannis Čelak.),NT
Stipa pulcherrima K. Koch,NT
Stipa smirnovii Martinovský,RE
Stipa tirsa Stev. subsp. tirsa,NT
Stratiotes aloides L.,NT
Streptopus amplexifolius (L.) DC.,LC
Succisella inflexa (Kluk) Beck,EN
Symphytum angustifolium A. Kern.,LC
Symphytum bohemicum F. W. Schmidt,VU
Symphytum tanaicense Stev.,NT
Syrenia cana (Piller et Mitterp.) Neilr.,CR
Taraxacum bessarabicum (Hornem.) Hand.-Mazz.,EN
Taraxacum erythrocarpum Kirschner et Štěpánek,EN
Taraxacum serotinum (Waldst. et Kit.) Fisch.,EN
Teesdalia nudicaulis (L.) W. T. Aiton,VU
"Tephroseris aurantiaca (Hoppe ex Willd.) Griseb. et Schenk(syn. Senecio aurantiacus (Hoppe ex Willd.) Less.)",NT
"Tephroseris capitata (Wahlenb.) Griseb. (syn. Seneciocapitatus (Wahlenb.) Steud.",NT
"Tephroseris integrifolia (L.) Holub (syn. Senecio integrifolius(L.) Clairv.)",NT
"Tephroseris longifolia subsp. moravica Holub (syn. Senecioovirensis auct. non W. D. J. Koch p. p.)",EN
"Tephroseris papposa (Rchb.) Schur subsp. papposa (syn.Senecio papposus (Rchb.) Less. subsp. papposus)",EN
Tetragonolobus maritimus (L.) Roth,NT
Teucrium montanum subsp. jailae (Juz.) Soó,NT
Teucrium montanum subsp. pannonicum (A. Kern.) Domin,NT
Teucrium scordium L.,NT
Teucrium scorodonia L. subsp. scorodonia,NT
Thalictrum flavum L.,VU
Thalictrum foetidum L.,DD
Thalictrum lucidum L.,LC
Thalictrum simplex L. subsp. simplex,NT
Thalictrum simplex subsp. galioides (DC.) Korsh.,VU
Thelypteris palustris Schott,NT
Thesium dollineri Murb.,VU
Thesium ebracteatum Hayne ex Schrader,RE
Thesium pyrenaicum Pourr.,RE
"Thesium ramosum Hayne (syn. T. arvense Horv., nom. illeg.)",DD
Thlaspi alliaceum L.,RE
Thlaspi caerulescens J. Presl et C. Presl subsp. caerulescens,DD
Thlaspi caerulescens subsp. tatrense (Zapał.) Dvořáková,LC
Thlaspi jankae A. Kern.,VU
Thlaspi montanum L.,VU
Thymelaea passerina (L.) Coss. et Germ.,LC
Thymus alternans Klokov,NT
"Thymus pulegioides subsp. carniolicus (Borbás) P. Schmidt(syn. Th. froelichianus Opiz)",CR
Tillaea aquatica L.,CR
Tilia platyphyllos subsp. sitnensis (Kmeť) Domin,DD
Tofieldia pusilla (F. Michx.) Pers.,VU
Tordylium maximum L.,VU
Torilis arvensis (Huds.) Link subsp. arvensis,NT
Tozzia carpathica Woł.,NT
Tragopogon floccosus Waldst. et Kit.,RE
Tragus racemosus (L.) All.,NT
Trapa natans L.,LC
Traunsteinera globosa (L.) Rchb. f.,NT
Tribulus terrestris L. subsp. orientalis (A. Kern.) Dostál,NT
Trichophorum alpinum (L.) Pers.,EN
"Trichophorum cespitosum (L.) Hartm. subsp. cespitosum (syn.T. cespitosum subsp. austriacum (Palla) Hegi)",EN
Trichophorum pumilum (Vahl) Schinz et Thell.,EN
Trientalis europaea L.,NT
Trifolium angulatum Waldst. et Kit.,CR
Trifolium diffusum Ehrh.,CR(PE)
"Trifolium fragiferum subsp. bonannii (J. Presl et C. Presl)Soják",NT
