Species,IUCN
Avenula pratensis subsp. hirtifolia (Podp.) Holub,VU
Barbarea stricta Andrz.,LC
"Bassia laniflora (S. G. Gmel.) A. J. Scott (syn. Kochialaniflora (S. G. Gmel.) Borbás)",VU
"Bassia prostrata (L.) A. J. Scott (syn. Kochia prostrata (L.)Schrad.)",RE
Beckmannia eruciformis (L.) Host,EN
Bellardiochloa variegata (Lam.) Kerguélen,VU
Berula erecta (Huds.) Coville,LC
Betula nana L.,RE
Betula pendula var. obscura (Kotula ex Fiek ) Olšavská,LC
Bidens radiata Thuill.,NT
Bifora radians M. Bieb.,CR
"Blackstonia acuminata (W. D. J. Koch et Ziz) Domin (syn. B.perfoliata subsp. serotina (W. D. J. Koch ex Rchb.) Vollm.)",EN
Blechnum spicant (L.) Roth,NT
Bolboschoenus maritimus (L.) Palla,NT
Bolboschoenus yagara (Ohwi) Y. C. Yang et M. Zhan,CR
Bombycilaena erecta (L.) Smoljan.,CR
Botrychium matricariifolium (A. Braun ex Döll) W. D. J. Koch,CR
"Botrychium multifidum (S. S. Gmel.) Rupr. (syn. Sceptridiummultifidum (S. G. Gmel.) Tagawa)",CR
"Botrychium virginianum (L.) Sw. (syn. Botrypus virginianus(L.) Holub)",RE
Brassica elongata Ehrh. subsp. elongata,RE
Bromus arvensis L. subsp. arvensis,LC
Bromus commutatus Schrad. subsp. commutatus,LC
Bromus racemosus L.,DD
Bromus secalinus L. subsp. secalinus,EN
Bromus squarrosus L. subsp. squarrosus,LC
Bromus squarrosus subsp. danubialis Pénzes,DD
Buphthalmum salicifolium L.,NT
Bupleurum affine Sadler,LC
Bupleurum falcatum subsp. dilatatum Schur,DD
Bupleurum praealtum L.,EN
Bupleurum rotundifolium L.,EN
Bupleurum tenuissimum L.,VU
Butomus umbellatus L.,LC
Calamintha menthifolia Host,NT
Calla palustris L.,VU
Callianthemum coriandrifolium Rchb.,LC
Callitriche cophocarpa Sendtn.,LC
Callitriche hamulata W. D. J. Koch,VU
Callitriche palustris L.,LC
Camelina alyssum (Mill.) Thell. subsp. alyssum,RE
Camelina alyssum subsp. integerrima (Čelak.) Smejkal,RE
Camelina rumelica Velen.,CR
Camelina sativa (L.) Crantz subsp. sativa,CR
Camelina sativa subsp. zingeri (Mirek) Smejkal,RE
Campanula abietina Griseb.,NT
Campanula bononiensis L.,NT
"Campanula glomerata subsp. elliptica (Kit. ex Schult.)Kirschl.",LC
Campanula macrostachya Waldst. et Kit. ex Willd.,EN
Campanula rapunculus L.,EN
Campanula serrata (Kit.) Hendrych,NT
Campanula xylocarpa Kovanda,NT
Campanula xylorrhiza (O. Schwarz) Á. Löve et D. Löve,NA
Camphorosma annua Pall.,CR
Cardamine dentata Schult.,VU
Cardamine parviflora L.,EN
Carduus collinus Waldst. et Kit. subsp. collinus,NT
Carduus lobulatus Borbás,CR
Carex appropinquata Schum.,VU
Carex approximata Bell. ex All.,NT
Carex aterrima Hoppe,LC
Carex atrofusca Schkuhr,VU
"Carex bigelowii Torr. ex Schwein. subsp. dacica (Schur) T. V.Egorova (syn. C. b. subsp. rigida W. Schultze-Motel)",NT
Carex bohemica Schreb.,DD
Carex brevicollis DC.,VU
Carex buekii Wimm.,LC
Carex buxbaumii Wahlenb.,CR
Carex canescens L.,LC
Carex capillaris L. subsp. capillaris,NT
Carex cespitosa L.,NT
Carex chordorrhiza L. f.,CR
Carex davalliana Sm.,NT
Carex demissa Hornem. (syn. C.  tumidicarpa Andersson),NT
"Carex depressa subsp. transsilvanica (Schur) T. M. Egorova(syn. C. transsilvanica Schur)",NT
Carex diandra Schrank,VU
Carex dioica L. subsp. dioica,VU
Carex distans L.,NT
Carex disticha Huds.,NT
Carex divisa Huds.,EN
Carex ericetorum Pollich,VU
Carex flava L.,LC
Carex fritschii Waisb.,EN
Carex fuliginosa Schkuhr subsp. fuliginosa,LC
Carex halleriana Asso,CR
Carex hartmanii Cajander,NT
Carex hordeistichos Vill.,NT
