species,species_powo
Anthemis bourgaei,Anthemis bourgei
Carduncellus monspeliensium,Carthamus carduncellus
Centaurea genesii-lopezii,Centaurea × genesii-lopezii
Erodium manescavii,Erodium manescavi
Eryngium grosii,Eryngium grossii
Euphorbia bourgaeana,Euphorbia bourgeana
Euzomodendron bourgeanum,Vella bourgaeana
Ferula lancerottensis,Ferula lancerotensis
Genista haenseleri,Genista haensleri
Gymnocarpos decandrus,Gymnocarpos decander
Hieracium queraltensis,Hieracium queraltense
Hymenophyllum tunbridgense,Hymenophyllum tunbrigense
Hypericum robertii,Hypericum roberti
Klasea baetica,Klasea boetica
Thesium canariensis,Thesium canariense
Narcissus bugei,Narcissus bugei
Narcissus odorus,Narcissus × odorus
Phelipanche mariana,Orobanche rosmarina
Serapias occidentalis,Serapias × occidentalis
Succisella carvalheana,Succisella carvalhoana
Taraxacum megalorhizon,Taraxacum megalorrhizon
Teline osyroides,Cytisus osyrioides 
Hieracium barrimum,Hieracium barrimum
Hieracium densecomosum,Hieracium densecomosum
Hieracium eudaedalum,Hieracium eudaedalium
Hieracium femsioense,Hieracium femsioense
Hieracium hastatoovatum,Hieracium hastato-ovatum
Hieracium kemiticum,Hieracium kemiticum
Hieracium manocolum,Hieracium manocola
Hieracium plumuligerum,Hieracium plumuligerum
Hieracium prolatatum,Hieracium prolatatum
Hieracium remanentiforme,Hieracium remanentiforme
Hieracium scotocranum,Hieracium scotocranum
Hieracium serratoellipticum,Hieracium serratoellipticum
Hieracium subchristianense,Hieracium subchristianense
Hieracium tinctinervum,Hieracium tinctinervum
Rubus oredssonii,Rubus oredssonii
Rubus steracanthos,Rubus steracanthos
Rubus vestervicensis,Rubus × vestervicensis
Rubus wendtii,Rubus wendtii
Sagina normaniana,Sagina × normaniana
Hieracium bauhinii,Pilosella bauhini
Onosma pseudoarenarium,Onosma pseudoarenaria
Xanthoselinum venetum,Peucedanum venetum
Potamogeton salicifolius,Potamogeton × salicifolius
Trochiscanthes nodiflorus,Trochiscanthes nodiflora
Stipa zalesskii,Stipa zalesskyi
Onosma polyphyllum,Onosma polyphylla
Thymus littoralis,Thymus × littoralis
Delphinium sergii,Delphinium schmalhausenii
Prunus klokovii,Cerasus klokovii
Onosma graniticolum,Onosma arenaria
Centaurea margaritalba,Centaurea margarita-alba
Centaurea paczoskii,Centaurea paczoskyi
Centaurea protogerberi,Centaurea proto-gerberi
Centaurea protomargaritacea,Centaurea proto-margaritacea
Phelipaea coccinea,Phelypaea coccinea
Centranthus calcitrapa,Valeriana calcitrapae
Asplenium septentrionale x trichomanes,Asplenium septentrionale x trichomanes
Carex ludibunda,Carex × ludibunda
Equisetum robertsii,Equisetum × robertsii
Equisetum font-queri,Equisetum × font-queri
Hieracium griffithii,Hieracium griffitii
Luzula borreri,Luzula × borreri
Polypodium rothmaleri,Polypodium × shivasiae
Potamogeton griffithii,Potamogeton × griffithii
Potamogeton lintonii,Potamogeton × lintonii
Aria leptophylla,Aria × leptophylla
