"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status","botanical_countries_l3"
"Centaurea zuccariniana","VU","yes","Albania","Centaurea zuccariniana DC.",3128329,"Centaurea zuccariniana","Tracheophyta","species","ACCEPTED","Albania"
"Cephalaria pastricensis","EN","yes","Albania","Cephalaria pastricensis Dörfl. & Hayek",4104113,"Cephalaria pastricensis","Tracheophyta","species","ACCEPTED","Albania"
"Cerastium grandiflorum","EN","yes","Albania","Cerastium grandiflorum Waldst. & Kit.",7267475,"Cerastium grandiflorum","Tracheophyta","species","ACCEPTED","Albania"
"Cerastium smolikanum","CR","yes","Albania","Cerastium smolikanum Hartvig",3807971,"Cerastium smolikanum","Tracheophyta","species","ACCEPTED","Albania"
"Chaerophyllum coloratum","EN","yes","Albania","Chaerophyllum coloratum L.",3642147,"Chaerophyllum coloratum","Tracheophyta","species","ACCEPTED","Albania"
"Chaerophyllum heldreichii","VU","yes","Albania","Chaerophyllum heldreichii Orph.",7889527,"Chaerophyllum heldreichii","Tracheophyta","species","DOUBTFUL","Albania"
"Chamaecytisus tommasinii","EN","yes","Albania","Chamaecytisus tommasinii (Vis.) Rothm.",5354691,"Chamaecytisus tommasinii","Tracheophyta","species","ACCEPTED","Albania"
"Cirsium boujartii","EN","yes","Albania","Cirsium boujartii (Piller & Mitterp.) Sch.Bip.",3113005,"Cirsium boujartii","Tracheophyta","species","ACCEPTED","Albania"
"Cirsium tymphaeum","EN","yes","Albania","Cirsium tymphaeum Hausskn.",3113138,"Cirsium tymphaeum","Tracheophyta","species","ACCEPTED","Albania"
"Cistus albanicus","EN","yes","Albania","Cistus albanicus E.F.Warb. ex Heywood",3595235,"Cistus sintenisii","Tracheophyta","species","SYNONYM","Albania"
"Cladium mariscus","VU","yes","Albania","Cladium mariscus (L.) Pohl",2731327,"Cladium mariscus","Tracheophyta","species","ACCEPTED","Albania"
"Colchicum autumnale","EN","yes","Albania","Colchicum autumnale L.",2739622,"Colchicum autumnale","Tracheophyta","species","ACCEPTED","Albania"
"Colchicum cupanii","EN","yes","Albania","Colchicum cupanii Guss.",2739737,"Colchicum cupanii","Tracheophyta","species","ACCEPTED","Albania"
"Colchicum lingulatum","EN","yes","Albania","Colchicum lingulatum Boiss. & Spruner",2739888,"Colchicum lingulatum","Tracheophyta","species","ACCEPTED","Albania"
"Colchicum pieperanum","EN","yes","Albania","Colchicum pieperanum Markgr.",2740003,"Colchicum macedonicum","Tracheophyta","species","SYNONYM","Albania"
"Colchicum triphyllum","EN","yes","Albania","Colchicum triphyllum Kunze",2739870,"Colchicum triphyllum","Tracheophyta","species","ACCEPTED","Albania"
"Conium maculatum","EN","yes","Albania","Conium maculatum L.",3034807,"Conium maculatum","Tracheophyta","species","ACCEPTED","Albania"
"Convallaria majalis","CR","yes","Albania","Convallaria majalis L.",7459480,"Convallaria majalis","Tracheophyta","species","ACCEPTED","Albania"
"Corylus colurna","EN","yes","Albania","Corylus colurna L.",2875968,"Corylus colurna","Tracheophyta","species","ACCEPTED","Albania"
"Crepis albanica","VU","yes","Albania","Crepis albanica (Jáv.) Babc.",5403621,"Crepis baldaccii","Tracheophyta","species","SYNONYM","Albania"
"Crepis bertiscea","VU","yes","Albania","Crepis bertiscea Jáv.",5403637,"Crepis bertiscea","Tracheophyta","species","ACCEPTED","Albania"
"Crepis geracioides","VU","yes","Albania","Crepis geracioides Hausskn.",5403619,"Crepis viscidula","Tracheophyta","species","SYNONYM","Albania"
"Crepis turcica","EN","yes","Albania","Crepis turcica Degen & Bald.",5403622,"Crepis turcica","Tracheophyta","species","ACCEPTED","Albania"
"Crocus hadriaticus","CR","yes","Albania","Crocus hadriaticus Herb.",2747832,"Crocus hadriaticus","Tracheophyta","species","ACCEPTED","Albania"
"Cupressus sempervirens","VU","yes","Albania","Cupressus sempervirens L.",2684030,"Cupressus sempervirens","Tracheophyta","species","ACCEPTED","Albania"
"Desmazeria marina","VU","yes","Albania","Desmazeria marina (L.) Druce",4105452,"Catapodium marinum","Tracheophyta","species","SYNONYM","Albania"
"Dianthus viridescens","EN","yes","Albania","Dianthus viridescens Clementi",8218241,"Dianthus viridescens","Tracheophyta","species","ACCEPTED","Albania"
"Dictamus albus","VU","yes","Albania","Dictamnus albus L.",5421338,"Dictamnus albus","Tracheophyta","species","ACCEPTED","Albania"
"Dioscorea balcanica","EN","yes","Albania","Dioscorea balcanica Košanin",2754947,"Dioscorea balcanica","Tracheophyta","species","ACCEPTED","Albania"
"Draba korabensis","EN","yes","Albania","Draba korabensis Kümmerle & Degen",7971235,"Draba korabensis","Tracheophyta","species","DOUBTFUL","Albania"
"Draba parnassica","EN","yes","Albania","Draba parnassica Boiss. & Heldr.",3049413,"Draba parnassica","Tracheophyta","species","ACCEPTED","Albania"
"Dracunculus vulgaris","EN","yes","Albania","Dracunculus vulgaris Schott",5330001,"Dracunculus vulgaris","Tracheophyta","species","ACCEPTED","Albania"
