"Species","Redlist_cat","Threatened","Country"
"Triglochin palustris","EN","yes","Croatia"
"Typha laxmannii","EN","yes","Croatia"
"Vaccaria hispanica","EN","yes","Croatia"
"Veronica dillenii","EN","yes","Croatia"
"Xeranthemum annuum","EN","yes","Croatia"
"Dianthus multinervis","EX","yes","Croatia"
"Ammophila arenaria","RE","yes","Croatia"
"Botrychium matricariifolium","RE","yes","Croatia"
"Caldesia parnassifolia","RE","yes","Croatia"
"Cuscuta epilinum","RE","yes","Croatia"
"Cyperus glaber","RE","yes","Croatia"
"Drosera anglica","RE","yes","Croatia"
"Drosera intermedia","RE","yes","Croatia"
"Eriophorum gracile","RE","yes","Croatia"
"Eryngium planum","RE","yes","Croatia"
"Hippophae rhamnoides","RE","yes","Croatia"
"Blackstonia perfoliata","VU","yes","Croatia"
"Blysmus compressus","VU","yes","Croatia"
"Cardaminopsis halleri","VU","yes","Croatia"
"Carex davalliana","VU","yes","Croatia"
"Carex divisa","VU","yes","Croatia"
"Carex extensa","VU","yes","Croatia"
"Carex rostrata","VU","yes","Croatia"
"Clematis integrifolia","VU","yes","Croatia"
"Cynanchum acutum","VU","yes","Croatia"
"Cyperus glomeratus","VU","yes","Croatia"
"Cyperus michelianus","VU","yes","Croatia"
"Cyperus serotinus","VU","yes","Croatia"
"Cypripedium calceolus","VU","yes","Croatia"
"Dactylorhiza incarnata","VU","yes","Croatia"
"Dactylorhiza majalis","VU","yes","Croatia"
"Daphne cneorum","VU","yes","Croatia"
"Delphinium peregrinum","VU","yes","Croatia"
"Delphinium staphisagria","VU","yes","Croatia"
"Dianthus giganteus","VU","yes","Croatia"
"Eriophorum latifolium","VU","yes","Croatia"
"Gentiana lutea","VU","yes","Croatia"
"Gentiana pneumonanthe","VU","yes","Croatia"
"Glaucium flavum","VU","yes","Croatia"
"Hibiscus trionum","VU","yes","Croatia"
"Hippuris vulgaris","VU","yes","Croatia"
"Iris sibirica","VU","yes","Croatia"
"Lemna gibba","VU","yes","Croatia"
"Lindernia procumbens","VU","yes","Croatia"
"Lythrum portula","VU","yes","Croatia"
"Malva parviflora","VU","yes","Croatia"
"Marsilea quadrifolia","VU","yes","Croatia"
"Ophrys apifera","VU","yes","Croatia"
"Ophrys lutea","VU","yes","Croatia"
"Orchis italica","VU","yes","Croatia"
"Orchis lactea","VU","yes","Croatia"
"Orchis spitzelii","VU","yes","Croatia"
"Orlaya kochii","VU","yes","Croatia"
"Pedicularis acaulis","VU","yes","Croatia"
"Pedicularis hoermanniana","VU","yes","Croatia"
"Ranunculus lingua","VU","yes","Croatia"
"Ranunculus ophioglossifolius","VU","yes","Croatia"
"Selaginella helvetica","VU","yes","Croatia"
"Stratiotes aloides","VU","yes","Croatia"
"Suaeda vera","VU","yes","Croatia"
"Trifolium resupinatum","VU","yes","Croatia"
"Urtica membranacea","VU","yes","Croatia"
"Urtica pilulifera","VU","yes","Croatia"
"Vicia onobrychioides","VU","yes","Croatia"
"Cymbalaria longipes","CR","yes","Cyprus"
"Ipomoea sagittata","CR","yes","Cyprus"
"Gypsophila linearifolia","CR","yes","Cyprus"
"Mentha aquatica","CR","yes","Cyprus"
"Crypsis hadjikyriakou","CR","yes","Cyprus"
"Tulipa akamasica","CR","yes","Cyprus"
"Arbutus unedo","CR","yes","Cyprus"
"Mantisalca salmantica","CR","yes","Cyprus"
"Orchis palustris","CR","yes","Cyprus"
"Limonium mucronulatum","CR","yes","Cyprus"
"Viola parvula","CR","yes","Cyprus"
"Allium marathasicum","CR","yes","Cyprus"
"Trachomitum venetum","CR","yes","Cyprus"
"Argyrolobium uniflorum","CR","yes","Cyprus"
"Stipagrostis lanata","CR","yes","Cyprus"
"Cyclamen graecum","CR","yes","Cyprus"
"Achillea santolinoides","CR","yes","Cyprus"
"Ambrosia maritima","CR","yes","Cyprus"
"Epipactis microphylla","CR","yes","Cyprus"
"Orchis papilionacea","CR","yes","Cyprus"
"Peganum harmala","CR","yes","Cyprus"
"Hypecoum pendulum","CR","yes","Cyprus"
"Haplophyllum buxbaumii","CR","yes","Cyprus"
"Vulpia brevis","CR","yes","Cyprus"
"Hypopitys monotropa","CR","yes","Cyprus"
"Onosma gigantea","CR","yes","Cyprus"
"Delphinium caseyi","CR","yes","Cyprus"
"Salvia hierosolymitana","CR","yes","Cyprus"
"Agrimonia eupatoria","CR","yes","Cyprus"
"Carthamus caeruleus","CR","yes","Cyprus"
"Tripleurospermum inodorum","CR","yes","Cyprus"
"Echium glomeratum","CR","yes","Cyprus"
"Campanula delicatula","CR","yes","Cyprus"
"Paronychia echinulata","CR","yes","Cyprus"
"Silene fuscata","CR","yes","Cyprus"
"Convolvulus humilis","CR","yes","Cyprus"
"Hippocrepis emerus","CR","yes","Cyprus"
"Lotus angustissimus","CR","yes","Cyprus"
"Salvia sclarea","CR","yes","Cyprus"
"Epipactis condensata","CR","yes","Cyprus"
"Serapias parviflora","CR","yes","Cyprus"
"Cistanche phelypaea","CR","yes","Cyprus"
"Primula vulgaris","CR","yes","Cyprus"
"Verbascum blattaria","CR","yes","Cyprus"
"Verbascum orientale","CR","yes","Cyprus"
"Callitriche brutia","EN","yes","Cyprus"
"Euphorbia paralias","EN","yes","Cyprus"
"Arabis kennedyae","EN","yes","Cyprus"
"Dactylorhiza iberica","EN","yes","Cyprus"
"Micromeria cristata","EN","yes","Cyprus"
"Centaurea akamantis","EN","yes","Cyprus"
"Centaurium maritimum","EN","yes","Cyprus"
"Vincetoxicum canescens","EN","yes","Cyprus"
"Brassica hilarionis","EN","yes","Cyprus"
"Scilla morrisii","EN","yes","Cyprus"
"Anthemis tomentosa","EN","yes","Cyprus"
"Ifloga spicata","EN","yes","Cyprus"
"Suaeda aegyptiaca","EN","yes","Cyprus"
"Astragalus suberosus","EN","yes","Cyprus"
"Lotus cytisoides","EN","yes","Cyprus"
"Ononis diffusa","EN","yes","Cyprus"
"Satureja thymbra","EN","yes","Cyprus"
"Fritillaria persica","EN","yes","Cyprus"
"Tulipa agenensis","EN","yes","Cyprus"
"Tulipa cypria","EN","yes","Cyprus"
"Neurada procumbens","EN","yes","Cyprus"
"Limonium aucheri","EN","yes","Cyprus"
"Ammophila arenaria","EN","yes","Cyprus"
"Centropodia forsskalii","EN","yes","Cyprus"
"Cachrys scabra","EN","yes","Cyprus"
"Solenopsis antiphonitis","EN","yes","Cyprus"
"Pteris vittata","EN","yes","Cyprus"
"Cynanchum acutum","EN","yes","Cyprus"
"Gundelia tournefortii","EN","yes","Cyprus"
"Ranunculus millefolius","EN","yes","Cyprus"
"Potentilla recta","EN","yes","Cyprus"
"Celtis tournefortii","EN","yes","Cyprus"
"Ipomoea imperati","EN","yes","Cyprus"
"Silene kotschyi","EN","yes","Cyprus"
"Ranunculus constantinopolitanus","EN","yes","Cyprus"
"Aizoon hispanicum","EN","yes","Cyprus"
"Bupleurum nodiflorum","EN","yes","Cyprus"
"Dichoropetalum kyriakae","EN","yes","Cyprus"
"Scandix grandiflora","EN","yes","Cyprus"
"Hedera helix","EN","yes","Cyprus"
"Bellium minutum","EN","yes","Cyprus"
"Echium judaeum","EN","yes","Cyprus"
"Aethionema carneum","EN","yes","Cyprus"
"Crambe hispanica","EN","yes","Cyprus"
"Sisymbrium polyceratium","EN","yes","Cyprus"
"Saponaria mesogitana","EN","yes","Cyprus"
"Silene dichotoma","EN","yes","Cyprus"
"Helianthemum ledifolium","EN","yes","Cyprus"
"Helianthemum sanguineum","EN","yes","Cyprus"
"Isolepis cernua","EN","yes","Cyprus"
"Schoenoplectus tabernaemontani","EN","yes","Cyprus"
"Euphorbia aleppica","EN","yes","Cyprus"
"Lathyrus cassius","EN","yes","Cyprus"
"Lathyrus setifolius","EN","yes","Cyprus"
"Securigera cretica","EN","yes","Cyprus"
"Hypericum perfoliatum","EN","yes","Cyprus"
"Sideritis cypria","EN","yes","Cyprus"
"Malvella sherardiana","EN","yes","Cyprus"
"Ceratocapnos turbinata","EN","yes","Cyprus"
"Chaenorhinum rubrifolium","EN","yes","Cyprus"
"Potamogeton perfoliatus","EN","yes","Cyprus"
"Valantia muralis","EN","yes","Cyprus"
"Tamarix hampeana","EN","yes","Cyprus"
"Galium humifusum","EN","yes","Cyprus"
"Maresia nana","CR","yes","Cyprus"
"Cionura erecta","RE","yes","Cyprus"
"Centaurea cyanoides","RE","yes","Cyprus"
"Neslia paniculata","RE","yes","Cyprus"
"Campanula podocarpa","RE","yes","Cyprus"
"Geranium pusillum","RE","yes","Cyprus"
"Moluccella spinosa","RE","yes","Cyprus"
"Phlomis longifolia","RE","yes","Cyprus"
"Ophioglossum vulgatum","RE","yes","Cyprus"
"Epipactis helleborine","RE","yes","Cyprus"
"Consolida phrygia","RE","yes","Cyprus"
"Ranunculus neapolitanus","RE","yes","Cyprus"
"Baldellia ranunculoides","RE?","yes","Cyprus"
"Krubera peregrina","RE?","yes","Cyprus"
"Senecio aegyptius","RE?","yes","Cyprus"
"Camelina rumelica","RE?","yes","Cyprus"
"Colchicum stevenii","RE?","yes","Cyprus"
"Isolepis setacea","RE?","yes","Cyprus"
"Origanum laevigatum","RE?","yes","Cyprus"
"Origanum vulgare","RE?","yes","Cyprus"
"Orchis anthropophora","RE?","yes","Cyprus"
"Cruciata pedemontana","RE?","yes","Cyprus"
"Galium floribundum","RE?","yes","Cyprus"
"Sparganium erectum","RE?","yes","Cyprus"
"Achillea maritima","VU","yes","Cyprus"
"Taraxacum holmboei","VU","yes","Cyprus"
"Aethionema arabicum","VU","yes","Cyprus"
"Papaver cyprium","VU","yes","Cyprus"
"Taraxacum aphrogenes","VU","yes","Cyprus"
"Hedysarum cyprium","VU","yes","Cyprus"
"Phlomis cypria","VU","yes","Cyprus"
"Aegilops bicornis","VU","yes","Cyprus"
"Phlomis brevibracteata","VU","yes","Cyprus"
"Ophrys kotschyi","VU","yes","Cyprus"
"Triplachne nitens","VU","yes","Cyprus"
"Erysimum kykkoticum","VU","yes","Cyprus"
"Viburnum tinus","VU","yes","Cyprus"
"Allium exaltatum","VU","yes","Cyprus"
"Allium roseum","VU","yes","Cyprus"
"Anthriscus caucalis","VU","yes","Cyprus"
"Arum italicum","VU","yes","Cyprus"
"Arum sintenisii","VU","yes","Cyprus"
"Hyacinthus orientalis","VU","yes","Cyprus"
"Ornithogalum neurostegium","VU","yes","Cyprus"
"Anacyclus clavatus","VU","yes","Cyprus"
"Anthemis parvifolia","VU","yes","Cyprus"
"Arctium lappa","VU","yes","Cyprus"
"Reichardia picroides","VU","yes","Cyprus"
"Tussilago farfara","VU","yes","Cyprus"
"Onosma caespitosa","VU","yes","Cyprus"
"Herniaria hemistemon","VU","yes","Cyprus"
"Salsola soda","VU","yes","Cyprus"
"Carex illegitima","VU","yes","Cyprus"
"Fimbristylis turkestanica","VU","yes","Cyprus"
"Trifolium globosum","VU","yes","Cyprus"
"Hypericum lanuginosum","VU","yes","Cyprus"
"Juncus maritimus","VU","yes","Cyprus"
"Phlomis cypria","VU","yes","Cyprus"
"Salvia dominica","VU","yes","Cyprus"
"Cephalanthera rubra","VU","yes","Cyprus"
"Serapias aphroditae","VU","yes","Cyprus"
"Linaria pelisseriana","VU","yes","Cyprus"
"Alopecurus myosuroides","VU","yes","Cyprus"
"Phleum subulatum","VU","yes","Cyprus"
"Poa compressa","VU","yes","Cyprus"
"Sclerochloa dura","VU","yes","Cyprus"
"Vulpia muralis","VU","yes","Cyprus"
"Rumex vesicarius","VU","yes","Cyprus"
"Ranunculus rumelicus","VU","yes","Cyprus"
"Asphodeline lutea","VU","yes","Cyprus"
"Datisca cannabina","VU","yes","Cyprus"
"Brachypodium glaucovirens","VU","yes","Cyprus"
"Mesembryanthemum crystallinum","VU","yes","Cyprus"
"Daucus guttatus","VU","yes","Cyprus"
"Eryngium campestre","VU","yes","Cyprus"
"Ferula cypria","VU","yes","Cyprus"
"Ferulago syriaca","VU","yes","Cyprus"
"Scandix stellata","VU","yes","Cyprus"
"Tordylium apulum","VU","yes","Cyprus"
"Ornithogalum trichophyllum","VU","yes","Cyprus"
"Filago mareotica","VU","yes","Cyprus"
"Lactuca tetrantha","VU","yes","Cyprus"
"Cynoglossum troodi","VU","yes","Cyprus"
"Myosotis minutiflora","VU","yes","Cyprus"
"Onosma orientalis","VU","yes","Cyprus"
"Onosma troodi","VU","yes","Cyprus"
"Enarthrocarpus arcuatus","VU","yes","Cyprus"
"Moricandia arvensis","VU","yes","Cyprus"
"Ochthodium aegyptiacum","VU","yes","Cyprus"
"Teesdalia coronopifolia","VU","yes","Cyprus"
"Rhodalsine geniculata","VU","yes","Cyprus"
"Saponaria orientalis","VU","yes","Cyprus"
"Silene gemmata","VU","yes","Cyprus"
"Sedum microstachyum","VU","yes","Cyprus"
"Umbilicus horizontalis","VU","yes","Cyprus"
"Cyperus cyprius","VU","yes","Cyprus"
"Lomelosia argentea","VU","yes","Cyprus"
"Ephedra nebrodensis","VU","yes","Cyprus"
"Erica manipuliflora","VU","yes","Cyprus"
"Euphorbia lemesiana","VU","yes","Cyprus"
"Euphorbia thompsonii","VU","yes","Cyprus"
"Lotus conimbricensis","VU","yes","Cyprus"
"Vicia lutea","VU","yes","Cyprus"
"Erodium crassifolium","VU","yes","Cyprus"
"Najas marina","VU","yes","Cyprus"
"Hypericum hircinum","VU","yes","Cyprus"
"Juncus littoralis","VU","yes","Cyprus"
"Origanum cordifolium","VU","yes","Cyprus"
"Salvia veneris","VU","yes","Cyprus"
"Pinguicula crystallina","VU","yes","Cyprus"
"Linum maritimum","VU","yes","Cyprus"
"Phillyrea latifolia","VU","yes","Cyprus"
"Poa pratensis","VU","yes","Cyprus"
"Notholaena marantae","VU","yes","Cyprus"
"Ranunculus creticus","VU","yes","Cyprus"
"Ranunculus isthmicus","VU","yes","Cyprus"
"Ranunculus kykkoensis","VU","yes","Cyprus"
"Ranunculus repens","VU","yes","Cyprus"
"Geum heterocarpum","VU","yes","Cyprus"
"Geum urbanum","VU","yes","Cyprus"
"Galium divaricatum","VU","yes","Cyprus"
"Galium pisiferum","VU","yes","Cyprus"
"Osyris alba","VU","yes","Cyprus"
"Limosella aquatica","VU","yes","Cyprus"
"Urtica membranacea","VU","yes","Cyprus"
"Valerianella triceras","VU","yes","Cyprus"
"Phyla nodiflora","VU","yes","Cyprus"
"Verbena supina","VU","yes","Cyprus"
"Arum rupicola","VU","yes","Cyprus"
"Scilla lochiae","VU","yes","Cyprus"
"Achillea cretica","VU","yes","Cyprus"
"Anthemis chia","VU","yes","Cyprus"
"Crepis pusilla","VU","yes","Cyprus"
"Cynara makrisii","VU","yes","Cyprus"
"Alyssum akamasicum","VU","yes","Cyprus"
"Alyssum umbellatum","VU","yes","Cyprus"
"Convolvulus lineatus","VU","yes","Cyprus"
"Crassula vaillantii","VU","yes","Cyprus"
"Cladium mariscus","VU","yes","Cyprus"
"Astragalus macrocarpus","VU","yes","Cyprus"
"Coronilla repanda","VU","yes","Cyprus"
"Crocus cyprius","VU","yes","Cyprus"
"Crocus hartmannianus","VU","yes","Cyprus"
"Acinos troodi","VU","yes","Cyprus"
"Cedrus brevifolia","VU","yes","Cyprus"
"Alopecurus utriculatus","VU","yes","Cyprus"
"Calamagrostis epigejos","VU","yes","Cyprus"
"Crithopsis delileana","VU","yes","Cyprus"
"Crypsis aculeata","VU","yes","Cyprus"
"Crypsis factorovskyi","VU","yes","Cyprus"
"Asphodelus tenuifolius","VU","yes","Cyprus"
"Astragalus echinus","VU","yes","Cyprus"
"Aconitum firmum","VU","yes","Czech Republic"
"Aconitum firmum subsp. moravicum","VU","yes","Czech Republic"
"Actaea europaea","EN","yes","Czech Republic"
"Adenophora liliifolia","CR","yes","Czech Republic"
"Adonis flammea","CR","yes","Czech Republic"
"Adonis vernalis","VU","yes","Czech Republic"
"Agropyron pectinatum","CR","yes","Czech Republic"
"Agrostemma githago","CR","yes","Czech Republic"
"Agrostis alpina","EN","yes","Czech Republic"
"Agrostis rupestris","EN","yes","Czech Republic"
"Agrostis rupestris subsp. rupestris","EN","yes","Czech Republic"
"Achillea asplenifolia","CR","yes","Czech Republic"
"Aira caryophyllea","CR","yes","Czech Republic"
"Aira praecox","EN","yes","Czech Republic"
"Ajuga chamaepitys","CR","yes","Czech Republic"
"Ajuga chamaepitys subsp. chamaepitys","CR","yes","Czech Republic"
"Ajuga pyramidalis","EN","yes","Czech Republic"
"Alcea biennis","EN","yes","Czech Republic"
"Alcea biennis subsp. biennis","EN","yes","Czech Republic"
"Aldrovanda vesiculosa","RE","yes","Czech Republic"
"Alchemilla baltica","EN","yes","Czech Republic"
"Alchemilla fissa","EN","yes","Czech Republic"
"Alchemilla obtusa","VU","yes","Czech Republic"
"Alchemilla obtusa subsp. obtusa","VU","yes","Czech Republic"
"Alchemilla reniformis","VU","yes","Czech Republic"
"Alchemilla suavis","EN","yes","Czech Republic"
"Alisma gramineum","EN","yes","Czech Republic"
"Allium sphaerocephalon","EN","yes","Czech Republic"
"Allium sphaerocephalon subsp. sphaerocephalon","EN","yes","Czech Republic"
"Allium strictum","EN","yes","Czech Republic"
"Allium victorialis","EN","yes","Czech Republic"
"Alnus alnobetula","VU","yes","Czech Republic"
"Althaea officinalis","EN","yes","Czech Republic"
"Amaranthus blitum","VU","yes","Czech Republic"
"Amaranthus blitum subsp. blitum","VU","yes","Czech Republic"
"Amaranthus graecizans subsp. sylvestris","RE","yes","Czech Republic"
"Anacamptis pyramidalis","CR","yes","Czech Republic"
"Andromeda polifolia","VU","yes","Czech Republic"
"Androsace maxima","CR","yes","Czech Republic"
"Androsace septentrionalis","CR","yes","Czech Republic"
"Anemonastrum narcissiflorum","CR","yes","Czech Republic"
"Anemone sylvestris","EN","yes","Czech Republic"
"Angelica palustris","CR","yes","Czech Republic"
"Antennaria dioica","EN","yes","Czech Republic"
"Anthemis cotula","EN","yes","Czech Republic"
"Anthriscus caucalis","EN","yes","Czech Republic"
"Apera interrupta","RE","yes","Czech Republic"
"Aphanes australis","VU","yes","Czech Republic"
"Aposeris foetida","CR","yes","Czech Republic"
"Arabidopsis petraea","VU","yes","Czech Republic"
"Arabis nemorensis","EN","yes","Czech Republic"
"Arabis sudetica","EN","yes","Czech Republic"
"Arctostaphylos uva-ursi","EN","yes","Czech Republic"
"Aremonia agrimonoides","VU","yes","Czech Republic"
"Aremonia agrimonoides subsp. agrimonoides","VU","yes","Czech Republic"
"Arenaria grandiflora","VU","yes","Czech Republic"
"Armeria elongata subsp. serpentini","VU","yes","Czech Republic"
"Arnoseris minima","CR","yes","Czech Republic"
"Artemisia alba","CR","yes","Czech Republic"
"Artemisia pancicii","EN","yes","Czech Republic"
"Artemisia scoparia","EN","yes","Czech Republic"
"Asperula arvensis","RE","yes","Czech Republic"
"Asplenium adiantum-nigrum","CR","yes","Czech Republic"
"Asplenium adulterinum","VU","yes","Czech Republic"
"Asplenium ceterach","CR","yes","Czech Republic"
"Asplenium ceterach subsp. ceterach","CR","yes","Czech Republic"
"Asplenium cuneifolium","VU","yes","Czech Republic"
"Asplenium scolopendrium","VU","yes","Czech Republic"
"Asplenium scolopendrium subsp. scolopendrium","VU","yes","Czech Republic"
"Asplenium trichomanes subsp. hastatum","EN","yes","Czech Republic"
"Aster alpinus","EN","yes","Czech Republic"
"Astragalus arenarius","CR","yes","Czech Republic"
"Astragalus asper","RE","yes","Czech Republic"
"Astragalus exscapus","EN","yes","Czech Republic"
"Atocion rupestre","RE","yes","Czech Republic"
"Atriplex rosea","CR","yes","Czech Republic"
"Avena strigosa","RE","yes","Czech Republic"
"Bartsia alpina","EN","yes","Czech Republic"
"Bassia laniflora","RE","yes","Czech Republic"
"Bassia prostrata","CR","yes","Czech Republic"
"Batrachium baudotii","EN","yes","Czech Republic"
"Batrachium penicillatum","VU","yes","Czech Republic"
"Batrachium rionii","VU","yes","Czech Republic"
"Betula humilis","RE","yes","Czech Republic"
"Betula nana","EN","yes","Czech Republic"
"Betula oycoviensis","EN","yes","Czech Republic"
"Bifora radians","CR","yes","Czech Republic"
"Blysmus compressus","EN","yes","Czech Republic"
"Bolboschoenus maritimus","VU","yes","Czech Republic"
"Botrychium lunaria","VU","yes","Czech Republic"
"Botrychium matricariifolium","EN","yes","Czech Republic"
"Botrychium multifidum","CR","yes","Czech Republic"
"Botrychium simplex","RE","yes","Czech Republic"
"Bromus arvensis","CR","yes","Czech Republic"
"Bromus racemosus","CR","yes","Czech Republic"
"Bromus secalinus","CR","yes","Czech Republic"
"Bromus squarrosus","CR","yes","Czech Republic"
"Buphthalmum salicifolium","EN","yes","Czech Republic"
"Bupleurum affine","CR","yes","Czech Republic"
"Bupleurum longifolium","EN","yes","Czech Republic"
"Bupleurum longifolium subsp. longifolium","EN","yes","Czech Republic"
"Bupleurum longifolium subsp. vapincense","EN","yes","Czech Republic"
"Bupleurum rotundifolium","CR","yes","Czech Republic"
"Bupleurum tenuissimum","CR","yes","Czech Republic"
"Calamagrostis phragmitoides","VU","yes","Czech Republic"
"Calamagrostis pseudophragmites","EN","yes","Czech Republic"
"Calamagrostis stricta","EN","yes","Czech Republic"
"Calamagrostis varia","EN","yes","Czech Republic"
"Callitriche hermaphroditica","CR","yes","Czech Republic"
"Campanula barbata","VU","yes","Czech Republic"
"Campanula bohemica","VU","yes","Czech Republic"
"Campanula bononiensis","VU","yes","Czech Republic"
"Campanula cervicaria","CR","yes","Czech Republic"
"Campanula gelida","EN","yes","Czech Republic"
"Campanula glomerata subsp. farinosa","VU","yes","Czech Republic"
"Campanula rotundifolia subsp. sudetica","EN","yes","Czech Republic"
"Cardamine amara subsp. opicii","EN","yes","Czech Republic"
"Cardamine parviflora","EN","yes","Czech Republic"
"Cardamine resedifolia","EN","yes","Czech Republic"
"Carex alba","VU","yes","Czech Republic"
"Carex aterrima","EN","yes","Czech Republic"
"Carex atrata","EN","yes","Czech Republic"
"Carex bigelowii","EN","yes","Czech Republic"
"Carex bigelowii subsp. dacica","EN","yes","Czech Republic"
"Carex buxbaumii","EN","yes","Czech Republic"
"Carex capillaris","EN","yes","Czech Republic"
"Carex davalliana","EN","yes","Czech Republic"
"Carex depressa","EN","yes","Czech Republic"
"Carex depressa subsp. transsilvanica","EN","yes","Czech Republic"
"Carex derelicta","CR","yes","Czech Republic"
"Carex diandra","EN","yes","Czech Republic"
"Carex dioica","EN","yes","Czech Republic"
"Carex elata","VU","yes","Czech Republic"
"Carex elata subsp. elata","VU","yes","Czech Republic"
"Carex ericetorum","EN","yes","Czech Republic"
"Carex fritschii","VU","yes","Czech Republic"
"Carex hordeistichos","EN","yes","Czech Republic"
"Carex hostiana","EN","yes","Czech Republic"
"Carex chordorrhiza","EN","yes","Czech Republic"
"Carex lepidocarpa","EN","yes","Czech Republic"
"Carex limosa","VU","yes","Czech Republic"
"Carex macroura","EN","yes","Czech Republic"
"Carex magellanica","EN","yes","Czech Republic"
"Carex magellanica subsp. irrigua","EN","yes","Czech Republic"
"Carex melanostachya","EN","yes","Czech Republic"
"Carex obtusata","CR","yes","Czech Republic"
"Carex oederi","VU","yes","Czech Republic"
"Carex ornithopoda","VU","yes","Czech Republic"
"Carex pseudobrizoides","CR","yes","Czech Republic"
"Carex pulicaris","EN","yes","Czech Republic"
"Carex rupestris","CR","yes","Czech Republic"
"Carex secalina","EN","yes","Czech Republic"
"Carex stenophylla","VU","yes","Czech Republic"
"Carex strigosa","VU","yes","Czech Republic"
"Carex vaginata","EN","yes","Czech Republic"
"Carlina acaulis subsp. caulescens","EN","yes","Czech Republic"
"Carlina biebersteinii subsp. sudetica","CR","yes","Czech Republic"
"Catabrosa aquatica","CR","yes","Czech Republic"
"Caucalis platycarpos","VU","yes","Czech Republic"
"Caucalis platycarpos subsp. platycarpos","VU","yes","Czech Republic"
"Centaurea montana","EN","yes","Czech Republic"
"Centaurea montana subsp. mollis","CR","yes","Czech Republic"
"Centaurea montana subsp. montana","EN","yes","Czech Republic"
"Centaurea phrygia","EN","yes","Czech Republic"
"Centaurea stenolepis","EN","yes","Czech Republic"
"Centaurea stenolepis subsp. stenolepis","EN","yes","Czech Republic"
"Centaurium littorale","CR","yes","Czech Republic"
"Centaurium littorale subsp. compressum","CR","yes","Czech Republic"
"Centaurium pulchellum","VU","yes","Czech Republic"
"Centunculus minimus","CR","yes","Czech Republic"
"Cephalanthera rubra","EN","yes","Czech Republic"
"Cerastium alsinifolium","EN","yes","Czech Republic"
"Cerastium dubium","VU","yes","Czech Republic"
"Cerastium fontanum","VU","yes","Czech Republic"
"Cerastium tenoreanum","EN","yes","Czech Republic"
"Ceratocephala orthoceras","RE","yes","Czech Republic"
"Cicuta virosa","VU","yes","Czech Republic"
"Cirsium brachycephalum","CR","yes","Czech Republic"
"Cladium mariscus","EN","yes","Czech Republic"
"Cleistogenes serotina","EN","yes","Czech Republic"
"Clematis integrifolia","CR","yes","Czech Republic"
"Cnidium dubium","VU","yes","Czech Republic"
"Coeloglossum viride","EN","yes","Czech Republic"
"Conioselinum tataricum","EN","yes","Czech Republic"
"Conringia austriaca","RE","yes","Czech Republic"
"Conringia orientalis","CR","yes","Czech Republic"
"Corallorhiza trifida","VU","yes","Czech Republic"
"Coronilla vaginalis","VU","yes","Czech Republic"
"Corrigiola litoralis","CR","yes","Czech Republic"
"Cortusa matthioli","CR","yes","Czech Republic"
"Cortusa matthioli subsp. moravica","CR","yes","Czech Republic"
"Cotoneaster laxiflorus","EN","yes","Czech Republic"
"Crambe tataria","EN","yes","Czech Republic"
"Crepis conyzifolia","VU","yes","Czech Republic"
"Crepis mollis subsp. mollis","CR","yes","Czech Republic"
"Crepis pannonica","CR","yes","Czech Republic"
"Crepis praemorsa","EN","yes","Czech Republic"
"Crepis setosa","EN","yes","Czech Republic"
"Crepis sibirica","CR","yes","Czech Republic"
"Crocus heuffelianus","EN","yes","Czech Republic"
"Crocus vernus","EN","yes","Czech Republic"
"Cruciata pedemontana","EN","yes","Czech Republic"
"Crypsis aculeata","CR","yes","Czech Republic"
"Crypsis alopecuroides","CR","yes","Czech Republic"
"Crypsis schoenoides","CR","yes","Czech Republic"
"Cryptogramma crispa","VU","yes","Czech Republic"
"Cuscuta approximata","CR","yes","Czech Republic"
"Cuscuta approximata subsp. approximata","CR","yes","Czech Republic"
"Cuscuta epilinum","RE","yes","Czech Republic"
"Cuscuta lupuliformis","EN","yes","Czech Republic"
"Cynoglossum montanum","EN","yes","Czech Republic"
"Cyperus flavescens","CR","yes","Czech Republic"
"Cyperus michelianus","EN","yes","Czech Republic"
"Cypripedium calceolus","VU","yes","Czech Republic"
"Cystopteris sudetica","EN","yes","Czech Republic"
"Dactylorhiza bohemica","CR","yes","Czech Republic"
"Dactylorhiza curvifolia","RE","yes","Czech Republic"
"Dactylorhiza fuchsii subsp. sooana","VU","yes","Czech Republic"
"Dactylorhiza fuchsii var. psychrophila","EN","yes","Czech Republic"
"Dactylorhiza incarnata","EN","yes","Czech Republic"
"Dactylorhiza incarnata subsp. incarnata","EN","yes","Czech Republic"
"Dactylorhiza incarnata subsp. serotina","EN","yes","Czech Republic"
"Dactylorhiza maculata","EN","yes","Czech Republic"
"Dactylorhiza maculata subsp. transsilvanica","EN","yes","Czech Republic"
"Dactylorhiza majalis subsp. turfosa","EN","yes","Czech Republic"
"Dactylorhiza sambucina","EN","yes","Czech Republic"
"Dactylorhiza traunsteineri","CR","yes","Czech Republic"
"Danthonia alpina","EN","yes","Czech Republic"
"Daphne cneorum","CR","yes","Czech Republic"
"Delphinium elatum","EN","yes","Czech Republic"
"Dianthus arenarius","EN","yes","Czech Republic"
"Dianthus arenarius subsp. bohemicus","EN","yes","Czech Republic"
"Dianthus carthusianorum subsp. capillifrons","EN","yes","Czech Republic"
"Dianthus carthusianorum subsp. sudeticus","EN","yes","Czech Republic"
