"Species","Redlist_cat","Threatened","Country"
"Juniperus excelsa","CR","yes","Albania"
"Juniperus foetidissima","EN","yes","Albania"
"Juniperus oxycedrus","VU","yes","Albania"
"Juniperus phoenicea","EN","yes","Albania"
"Laurus nobilis","EN","yes","Albania"
"Leontopodium alpinum","CR","yes","Albania"
"Ligusticum albanicum","CR","yes","Albania"
"Lilium albanicum","EN","yes","Albania"
"Lotus cytisoides","EN","yes","Albania"
"Lunaria telekiana","CR","yes","Albania"
"Lycium europaeum","CR","yes","Albania"
"Malcolmia bicolor","EN","yes","Albania"
"Malva nicaeensis","VU","yes","Albania"
"Marsilea quadrifolia","EN","yes","Albania"
"Matthiola tricuspidata","EN","yes","Albania"
"Melampyrum heracleoticum","EN","yes","Albania"
"Menyanthes trifoliata","CR","yes","Albania"
"Micromeria parviflora","EN","yes","Albania"
"Minuartia pseudosaxifraga","CR","yes","Albania"
"Minuartia velenovskyi","CR","yes","Albania"
"Narthecium scardicum","VU","yes","Albania"
"Nerium oleander","VU","yes","Albania"
"Nuphar lutea","VU","yes","Albania"
"Nymphaea alba","VU","yes","Albania"
"Nymphoides peltata","VU","yes","Albania"
"Oenanthe tenuifolia","VU","yes","Albania"
"Omalotheca pichleri","EN","yes","Albania"
"Onosma mattirolii","VU","yes","Albania"
"Onosma pygmaeum","CR","yes","Albania"
"Ophrys spp.","VU","yes","Albania"
"Orchis spp.","VU","yes","Albania"
"Origanum vulgare","EN","yes","Albania"
"Osmunda regalis","EN","yes","Albania"
"Oxytropis purpurea","EN","yes","Albania"
"Pancratium maritimum","EN","yes","Albania"
"Pedicularis errnesti-mayeri","EN","yes","Albania"
"Pedicularis leucodon","EN","yes","Albania"
"Petasites doerfleri","EN","yes","Albania"
"Petrosimonia oppositifolia","CR","yes","Albania"
"Peucedanum arenarium","CR","yes","Albania"
"Phlomis tuberosa","EN","yes","Albania"
"Pholiurus pannonicus","CR","yes","Albania"
"Picea abies","CR","yes","Albania"
"Pinus heldreichii","VU","yes","Albania"
"Pinus mugo","VU","yes","Albania"
"Pinus peuce","EN","yes","Albania"
"Pinus pinea","VU","yes","Albania"
"Pinus sylvestris","CR","yes","Albania"
"Platanus orientalis","VU","yes","Albania"
"Polygala doerfleri","EN","yes","Albania"
"Polygonum albanicum","EN","yes","Albania"
"Populus alba","VU","yes","Albania"
"Posidonia oceanica","VU","yes","Albania"
"Potentilla visianii","VU","yes","Albania"
"Prunus avium","VU","yes","Albania"
"Prunus cerasifera","VU","yes","Albania"
"Prunus eebbii","VU","yes","Albania"
"Prunus tenella","CR","yes","Albania"
"Pulsatilla halleri","CR","yes","Albania"
"Quercus ilex","EN","yes","Albania"
"Quercus robur","VU","yes","Albania"
"Ramonda serbica","VU","yes","Albania"
"Ranunculus brevifolius","VU","yes","Albania"
"Ranunculus eettsteinii","CR","yes","Albania"
"Ranunculus fontanus","VU","yes","Albania"
"Ranunculus hayekii","CR","yes","Albania"
"Ranunculus lingua","VU","yes","Albania"
"Rhamnus intermedius","VU","yes","Albania"
"Rhinanthus melampyroides","EN","yes","Albania"
"Ribes multiflorum","EN","yes","Albania"
"Ruscus hypoglossum","VU","yes","Albania"
"Sagittaria sagittifolia","VU","yes","Albania"
"Salix ealdsteiniana","EN","yes","Albania"
"Salix fragilis","VU","yes","Albania"
"Salix hastata","EN","yes","Albania"
"Salix reticulata","VU","yes","Albania"
"Salix triandra","VU","yes","Albania"
"Salvia candidissima","VU","yes","Albania"
"Salvia fruticosa","VU","yes","Albania"
"Salvia officinalis","VU","yes","Albania"
"Salvinia natans","CR","yes","Albania"
"Sambucus nigra","VU","yes","Albania"
"Sambucus racemosa","VU","yes","Albania"
"Sanguisorba albanica","VU","yes","Albania"
"Sarcopoterium spinosum","CR","yes","Albania"
"Satureja montana","VU","yes","Albania"
"Saxifraga scardica","VU","yes","Albania"
"Saxifraga sedoides","VU","yes","Albania"
"Scilla albanica","VU","yes","Albania"
"Sempervivum ciliosum","EN","yes","Albania"
"Senecio vernalis","CR","yes","Albania"
"Serratula radiata","VU","yes","Albania"
"Sesleria eettsteinii","EN","yes","Albania"
"Sesleria robusta","EN","yes","Albania"
"Sideritis raeseri","EN","yes","Albania"
"Silene lerchenfeldiana","CR","yes","Albania"
"Silene pindicola","VU","yes","Albania"
"Silene schearzenbergeri","VU","yes","Albania"
"Silene tommassini","EN","yes","Albania"
"Sinapis pubescens","VU","yes","Albania"
"Soldanella dimoniei","VU","yes","Albania"
"Solenanthus albanicus","EN","yes","Albania"
"Solenanthus scardicus","VU","yes","Albania"
"Spirodela polyrrhiza","VU","yes","Albania"
"Stachys albanica","EN","yes","Albania"
"Stachys beckeana","VU","yes","Albania"
"Stachys decumbens","EN","yes","Albania"
"Stachys maritima","VU","yes","Albania"
"Stipa mayeri","CR","yes","Albania"
"Styrax officinalis","VU","yes","Albania"
"Symphytum officinale","VU","yes","Albania"
"Tamarix hampeana","VU","yes","Albania"
"Tanacetum cineraiifolium","VU","yes","Albania"
"Taxus baccata","VU","yes","Albania"
"Teucrium fruticans","VU","yes","Albania"
"Thesium auriculatum","EN","yes","Albania"
"Thlaspi microphyllum","EN","yes","Albania"
"Tilia cordata","CR","yes","Albania"
"Tilia platyphyllos","CR","yes","Albania"
"Trapa natans","EN","yes","Albania"
"Trollius europaeus","VU","yes","Albania"
"Tulipa albanica","CR","yes","Albania"
"Tulipa sylvestris","VU","yes","Albania"
"Typha minima","CR","yes","Albania"
"Typha shuttleeorthi","EN","yes","Albania"
"Ulmus glabra","VU","yes","Albania"
"Ulmus minor","VU","yes","Albania"
"Vaccinium myrtillus","VU","yes","Albania"
"Vaccinium uliginosum","VU","yes","Albania"
"Vaccinium vitis-idaea","VU","yes","Albania"
"Valantia aprica","VU","yes","Albania"
"Valeriana bertiscea","EN","yes","Albania"
"Valeriana crinii","VU","yes","Albania"
"Valeriana officinalis","VU","yes","Albania"
"Valeriana saxatilis","EN","yes","Albania"
"Verbascum guicciardii","EN","yes","Albania"
"Verbascum nicolai","EN","yes","Albania"
"Verbascum vandassi","EN","yes","Albania"
"Veronica saturejoides subsp. munellensis","VU","yes","Albania"
"Viburnum tinus","VU","yes","Albania"
"Viola acrocerauniensis","VU","yes","Albania"
"Viola albanica","CR","yes","Albania"
"Viola epirota","EN","yes","Albania"
"Viola eximia","EN","yes","Albania"
"Viola kosaninii","CR","yes","Albania"
"Viola latisepala","EN","yes","Albania"
"Viola raunsiensis","EN","yes","Albania"
"Viola schariensis","EN","yes","Albania"
"Viscum album","VU","yes","Albania"
"Zostera noltii","VU","yes","Albania"
"Abies alba","3","yes","Austria"
"Aceras anthropophorum","1","yes","Austria"
"Acer tataricum","3","yes","Austria"
"Achillea aspleniifolia","2","yes","Austria"
"Achillea distans subsp. distans","3","yes","Austria"
"Achillea distans subsp. styriaca","3","yes","Austria"
"Achillea nobilis","2","yes","Austria"
"Achillea pannonica","3","yes","Austria"
