"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Sphagnum subfulvum","VU","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Sphagnum subnitens","VU","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Syntrichia laevipila","VU","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Syntrichia latifolia","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Syntrichia pagorum","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Syntrichia papillosa","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tayloria splachnoides","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Thorea hispida","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Timmia norvegica","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tolypella intricata","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tomentypnum nitens","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tortella humilis","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tortella nitida","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tortula canescens","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tortula cuneifolia","VU","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Tortula protobryoides","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Trematodon ambiguus","CR","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Trichocolea tomentella","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Trichostomum brachydontium","VU","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Ulota crispa","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Ulota hutchinsiae","EN","yes","Bulgaria",NA,NA,NA,NA,NA,NA
"Helleborus niger","VU","yes","Croatia","Helleborus niger L.",3033107,"Helleborus niger","Tracheophyta","species","ACCEPTED"
"Aeluropus littoralis","CR","yes","Croatia","Aeluropus littoralis (Gouan) Parl.",4136390,"Aeluropus littoralis","Tracheophyta","species","ACCEPTED"
"Alyssum montanum","CR","yes","Croatia","Alyssum montanum L.",3044912,"Alyssum montanum","Tracheophyta","species","ACCEPTED"
"Anemone sylvestris","CR","yes","Croatia","Anemone sylvestris L.",3922888,"Anemone sylvestris","Tracheophyta","species","ACCEPTED"
"Anthemis tomentosa","CR","yes","Croatia","Anthemis tomentosa L.",7691448,"Anthemis tomentosa","Tracheophyta","species","ACCEPTED"
"Asplenium sagittatum","CR","yes","Croatia","Asplenium sagittatum (DC.) Bange",7774915,"Asplenium sagittatum","Tracheophyta","species","ACCEPTED"
"Aster tripolium","CR","yes","Croatia","Aster tripolium L.",3098616,"Tripolium pannonicum","Tracheophyta","species","SYNONYM"
"Bassia laniflora","CR","yes","Croatia","Bassia laniflora (S.G.Gmel.) A.J.Scott",5568188,"Bassia laniflora","Tracheophyta","species","ACCEPTED"
"Betula pubescens","CR","yes","Croatia","Betula pubescens Ehrh.",9118014,"Betula pubescens","Tracheophyta","species","ACCEPTED"
"Calla palustris","CR","yes","Croatia","Calla palustris L.",2869101,"Calla palustris","Tracheophyta","species","ACCEPTED"
"Calystegia soldanella","CR","yes","Croatia","Calystegia soldanella (L.) R.Br.",7646357,"Calystegia soldanella","Tracheophyta","species","ACCEPTED"
"Camphorosma annua","CR","yes","Croatia","Camphorosma annua Pall.",3759849,"Camphorosma annua","Tracheophyta","species","ACCEPTED"
"Carex bohemica","CR","yes","Croatia","Carex bohemica Schreb.",2728048,"Carex bohemica","Tracheophyta","species","ACCEPTED"
"Carex pulicaris","CR","yes","Croatia","Carex pulicaris L.",2726956,"Carex pulicaris","Tracheophyta","species","ACCEPTED"
"Chamaecytisus ratisbonensis","CR","yes","Croatia","Chamaecytisus ratisbonensis (Schaeff.) Rothm.",5354685,"Chamaecytisus ratisbonensis","Tracheophyta","species","ACCEPTED"
"Consolida ajacis","CR","yes","Croatia","Consolida ajacis (L.) Schur",3033833,"Delphinium ajacis","Tracheophyta","species","SYNONYM"
"Consolida brevicornis","CR","yes","Croatia","Consolida brevicornis (Vis.) Soó",8223843,"Delphinium brevicorne","Tracheophyta","species","SYNONYM"
"Consolida orientalis","CR","yes","Croatia","Consolida orientalis (Gay) Schröd.",3033829,"Delphinium orientale","Tracheophyta","species","SYNONYM"
"Convolvulus lineatus","CR","yes","Croatia","Convolvulus lineatus L.",3677112,"Convolvulus lineatus","Tracheophyta","species","ACCEPTED"
"Corynephorus canescens","CR","yes","Croatia","Corynephorus canescens (L.) P.Beauv.",5290194,"Corynephorus canescens","Tracheophyta","species","ACCEPTED"
"Corynephorus divaricatus","CR","yes","Croatia","Corynephorus divaricatus (Pourr.) Breistr.",4147899,"Corynephorus divaricatus","Tracheophyta","species","ACCEPTED"
"Cutandia maritima","CR","yes","Croatia","Cutandia maritima (L.) Barbey",7541951,"Cutandia maritima","Tracheophyta","species","ACCEPTED"
"Cyperus capitatus","CR","yes","Croatia","Cyperus capitatus Vand.",2714938,"Cyperus capitatus","Tracheophyta","species","ACCEPTED"
"Degenia velebitica","CR","yes","Croatia","Degenia velebitica (Degen) Hayek",3043200,"Degenia velebitica","Tracheophyta","species","ACCEPTED"
"Delphinium halteratum","CR","yes","Croatia","Delphinium halteratum Sm.",7498290,"Delphinium halteratum","Tracheophyta","species","ACCEPTED"
"Doronicum hungaricum","CR","yes","Croatia","Doronicum hungaricum Rchb.fil.",3143026,"Doronicum hungaricum","Tracheophyta","species","ACCEPTED"
"Drosera rotundifolia","CR","yes","Croatia","Drosera rotundifolia L.",3191030,"Drosera rotundifolia","Tracheophyta","species","ACCEPTED"
"Echinophora spinosa","CR","yes","Croatia","Echinophora spinosa L.",5538709,"Echinophora spinosa","Tracheophyta","species","ACCEPTED"
"Elymus farctus","CR","yes","Croatia","Elymus farctus (Viv.) Runemark ex Melderis",8395719,"Thinopyrum junceum","Tracheophyta","species","SYNONYM"
"Eriophorum angustifolium","CR","yes","Croatia","Eriophorum angustifolium Honck.",2730127,"Eriophorum angustifolium","Tracheophyta","species","ACCEPTED"
"Eriophorum vaginatum","CR","yes","Croatia","Eriophorum vaginatum L.",2730185,"Eriophorum vaginatum","Tracheophyta","species","ACCEPTED"
"Festuca vaginata","CR","yes","Croatia","Festuca vaginata Waldst. & Kit. ex Willd.",4111772,"Festuca vaginata","Tracheophyta","species","ACCEPTED"
"Fimbristylis bisumbellata","CR","yes","Croatia","Fimbristylis bisumbellata (Forssk.) Bubani",2708744,"Fimbristylis bisumbellata","Tracheophyta","species","ACCEPTED"
"Galium rubioides","CR","yes","Croatia","Galium rubioides L.",2913315,"Galium rubioides","Tracheophyta","species","ACCEPTED"
"Geranium dalmaticum","CR","yes","Croatia","Geranium dalmaticum (Beck) Rech.f.",2890805,"Geranium dalmaticum","Tracheophyta","species","ACCEPTED"
"Heliotropium supinum","CR","yes","Croatia","Heliotropium supinum L.",2925777,"Heliotropium supinum","Tracheophyta","species","ACCEPTED"
"Hieracium echioides","CR","yes","Croatia","Hieracium echioides Lumn.",9457353,"Pilosella echioides","Tracheophyta","species","SYNONYM"
"Imperata cylindrica","CR","yes","Croatia","Imperata cylindrica (L.) P.Beauv.",8120010,"Imperata cylindrica","Tracheophyta","species","ACCEPTED"
"Koeleria glauca","CR","yes","Croatia","Koeleria glauca (Spreng.) DC.",4137839,"Koeleria glauca","Tracheophyta","species","ACCEPTED"
"Ligularia sibirica","CR","yes","Croatia","Ligularia sibirica (L.) Cass.",6445722,"Ligularia sibirica","Tracheophyta","species","ACCEPTED"
"Limosella aquatica","CR","yes","Croatia","Limosella aquatica L.",3172211,"Limosella aquatica","Tracheophyta","species","ACCEPTED"
"Lycopodiella inundata","CR","yes","Croatia","Lycopodiella inundata (L.) Holub",2688345,"Lycopodiella inundata","Tracheophyta","species","ACCEPTED"
"Mandragora officinarum","CR","yes","Croatia","Mandragora officinarum L.",5341748,"Mandragora officinarum","Tracheophyta","species","ACCEPTED"
"Moehringia tommasinii","CR","yes","Croatia","Moehringia tommasinii Marches.",3810117,"Moehringia tommasinii","Tracheophyta","species","ACCEPTED"
"Myricaria germanica","CR","yes","Croatia","Myricaria germanica (L.) Desv.",3612876,"Myricaria germanica","Tracheophyta","species","ACCEPTED"
"Osmunda regalis","CR","yes","Croatia","Osmunda regalis L.",8049341,"Osmunda regalis","Tracheophyta","species","ACCEPTED"
"Pancratium maritimum","CR","yes","Croatia","Pancratium maritimum L.",2853283,"Pancratium maritimum","Tracheophyta","species","ACCEPTED"
"Pholiurus pannonicus","CR","yes","Croatia","Pholiurus pannonicus (Host) Trin.",4138669,"Pholiurus pannonicus","Tracheophyta","species","ACCEPTED"
"Pilularia minuta","CR","yes","Croatia","Pilularia minuta Durieu",3913503,"Pilularia minuta","Tracheophyta","species","DOUBTFUL"
"Pinguicula vulgaris","CR","yes","Croatia","Pinguicula vulgaris L.",5415065,"Pinguicula vulgaris","Tracheophyta","species","ACCEPTED"
"Plantago indica","CR","yes","Croatia","Plantago indica L.",3189762,"Plantago arenaria","Tracheophyta","species","SYNONYM"
"Plantago tenuiflora","CR","yes","Croatia","Plantago tenuiflora Waldst. & Kit.",4156439,"Plantago tenuiflora","Tracheophyta","species","ACCEPTED"
"Polygonum arenarium","CR","yes","Croatia","Polygonum arenarium Waldst. & Kit.",5334315,"Polygonum arenarium","Tracheophyta","species","ACCEPTED"
"Potentilla palustris","CR","yes","Croatia","Potentilla palustris (L.) Scop.",3020532,"Comarum palustre","Tracheophyta","species","SYNONYM"
"Prunus tenella","CR","yes","Croatia","Prunus tenella Batsch",3022879,"Prunus tenella","Tracheophyta","species","ACCEPTED"
"Puccinellia distans","CR","yes","Croatia","Puccinellia distans (Jacq.) Parl.",2704688,"Puccinellia distans","Tracheophyta","species","ACCEPTED"
"Pulsatilla pratensis","CR","yes","Croatia","Pulsatilla pratensis (L.) Mill.",7277878,"Pulsatilla pratensis","Tracheophyta","species","ACCEPTED"
"Rhynchospora alba","CR","yes","Croatia","Rhynchospora alba (L.) Vahl",2721119,"Rhynchospora alba","Tracheophyta","species","ACCEPTED"
"Saccharum ravennae","CR","yes","Croatia","Saccharum ravennae (L.) L.",2703919,"Saccharum ravennae","Tracheophyta","species","ACCEPTED"
"Scirpus cespitosus","CR","yes","Croatia","Scirpus cespitosus L.",2710592,"Trichophorum cespitosum","Tracheophyta","species","SYNONYM"
"Scirpus mucronatus","CR","yes","Croatia","Scirpus mucronatus L.",5827389,"Schoenoplectiella mucronata","Tracheophyta","species","SYNONYM"
"Scirpus setaceus","CR","yes","Croatia","Scirpus setaceus L.",2713300,"Isolepis setacea","Tracheophyta","species","SYNONYM"
"Scirpus supinus","CR","yes","Croatia","Scirpus supinus L.",2710765,"Schoenoplectiella supina","Tracheophyta","species","SYNONYM"
"Sporobolus pungens","CR","yes","Croatia","Sporobolus pungens (Schreb.) Kunth",4147932,"Sporobolus pungens","Tracheophyta","species","ACCEPTED"
"Trifolium michelianum","CR","yes","Croatia","Trifolium michelianum Savi",5359169,"Trifolium michelianum","Tracheophyta","species","ACCEPTED"
"Triglochin bulbosa","CR","yes","Croatia","Triglochin bulbosa L.",2865355,"Triglochin bulbosa","Tracheophyta","species","ACCEPTED"
"Typha minima","CR","yes","Croatia","Typha minima Funck",5289492,"Typha minima","Tracheophyta","species","ACCEPTED"
"Ventenata dubia","CR","yes","Croatia","Ventenata dubia (Leers) Coss. & Durieu",2703592,"Ventenata dubia","Tracheophyta","species","ACCEPTED"
"Adonis aestivalis","EN","yes","Croatia","Adonis aestivalis L.",5371707,"Adonis aestivalis","Tracheophyta","species","ACCEPTED"
"Adonis annua","EN","yes","Croatia","Adonis annua L.",5371709,"Adonis annua","Tracheophyta","species","ACCEPTED"
"Agropyron cristatum","EN","yes","Croatia","Agropyron cristatum (L.) Gaertn.",2705196,"Agropyron cristatum","Tracheophyta","species","ACCEPTED"
"Alisma gramineum","EN","yes","Croatia","Alisma gramineum Lej.",2865152,"Alisma gramineum","Tracheophyta","species","ACCEPTED"
"Allium angulosum","EN","yes","Croatia","Allium angulosum L.",2855717,"Allium angulosum","Tracheophyta","species","ACCEPTED"
"Alopecurus bulbosus","EN","yes","Croatia","Alopecurus bulbosus Gouan",5672393,"Alopecurus bulbosus","Tracheophyta","species","ACCEPTED"
"Arnica montana","EN","yes","Croatia","Arnica montana L.",5405976,"Arnica montana","Tracheophyta","species","ACCEPTED"
"Baldellia ranunculoides","EN","yes","Croatia","Baldellia ranunculoides (L.) Parl.",2864546,"Baldellia ranunculoides","Tracheophyta","species","ACCEPTED"
"Beckmannia eruciformis","EN","yes","Croatia","Beckmannia eruciformis (L.) Host",5290063,"Beckmannia eruciformis","Tracheophyta","species","ACCEPTED"
"Bupleurum lancifolium","EN","yes","Croatia","Bupleurum lancifolium Hornem.",3034557,"Bupleurum lancifolium","Tracheophyta","species","ACCEPTED"
"Carex echinata","EN","yes","Croatia","Carex echinata Murray",2726894,"Carex echinata","Tracheophyta","species","ACCEPTED"
"Carex flava","EN","yes","Croatia","Carex flava L.",2726880,"Carex flava","Tracheophyta","species","ACCEPTED"
"Carex hostiana","EN","yes","Croatia","Carex hostiana DC.",2728963,"Carex hostiana","Tracheophyta","species","ACCEPTED"
"Carex lepidocarpa","EN","yes","Croatia","Carex lepidocarpa Tausch",2725388,"Carex lepidocarpa","Tracheophyta","species","ACCEPTED"
"Carex nigra","EN","yes","Croatia","Carex nigra (L.) Reichard",2724925,"Carex nigra","Tracheophyta","species","ACCEPTED"
"Carex serotina","EN","yes","Croatia","Carex serotina Mérat",7973697,"Carex oederi","Tracheophyta","species","SYNONYM"
"Catabrosa aquatica","EN","yes","Croatia","Catabrosa aquatica (L.) P.Beauv.",2705315,"Catabrosa aquatica","Tracheophyta","species","ACCEPTED"
"Crepis pyrenaica","EN","yes","Croatia","Crepis pyrenaica (L.) Greuter",5403358,"Crepis pyrenaica","Tracheophyta","species","ACCEPTED"
"Cyperus rotundus","EN","yes","Croatia","Cyperus rotundus L.",2714818,"Cyperus rotundus","Tracheophyta","species","ACCEPTED"
"Deschampsia media","EN","yes","Croatia","Deschampsia media (Gouan) Roem. & Schult.",4143080,"Deschampsia media","Tracheophyta","species","ACCEPTED"
"Dorycnium rectum","EN","yes","Croatia","Dorycnium rectum (L.) Ser.",5354797,"Lotus rectus","Tracheophyta","species","SYNONYM"
"Eleocharis carniolica","EN","yes","Croatia","Eleocharis carniolica W.D.J.Koch",2717871,"Eleocharis carniolica","Tracheophyta","species","ACCEPTED"
"Eleocharis ovata","EN","yes","Croatia","Eleocharis ovata (Roth) Roem. & Schult.",2717641,"Eleocharis ovata","Tracheophyta","species","ACCEPTED"
"Eleocharis uniglumis","EN","yes","Croatia","Eleocharis uniglumis (Link) Schult.",2717910,"Eleocharis uniglumis","Tracheophyta","species","ACCEPTED"
"Galium uliginosum","EN","yes","Croatia","Galium uliginosum L.",2913556,"Galium uliginosum","Tracheophyta","species","ACCEPTED"
"Hordeum secalinum","EN","yes","Croatia","Hordeum secalinum Schreb.",2706068,"Hordeum secalinum","Tracheophyta","species","ACCEPTED"
"Hottonia palustris","EN","yes","Croatia","Hottonia palustris L.",4006551,"Hottonia palustris","Tracheophyta","species","ACCEPTED"
"Hydrocotyle vulgaris","EN","yes","Croatia","Hydrocotyle vulgaris L.",3034606,"Hydrocotyle vulgaris","Tracheophyta","species","ACCEPTED"
"Kitaibela vitifolia","EN","yes","Croatia","Kitaibela vitifolia Willd.",4939668,"Kitaibela vitifolia","Tracheophyta","species","ACCEPTED"
"Lathyrus ochrus","EN","yes","Croatia","Lathyrus ochrus (L.) DC.",5356441,"Lathyrus ochrus","Tracheophyta","species","ACCEPTED"
"Leucanthemella serotina","EN","yes","Croatia","Leucanthemella serotina (L.) Tzvelev",3088405,"Leucanthemella serotina","Tracheophyta","species","ACCEPTED"
"Lythrum tribracteatum","EN","yes","Croatia","Lythrum tribracteatum Spreng.",3188749,"Lythrum tribracteatum","Tracheophyta","species","ACCEPTED"
"Marrubium peregrinum","EN","yes","Croatia","Marrubium peregrinum L.",3905970,"Marrubium peregrinum","Tracheophyta","species","ACCEPTED"
"Menyanthes trifoliata","EN","yes","Croatia","Menyanthes trifoliata L.",5341511,"Menyanthes trifoliata","Tracheophyta","species","ACCEPTED"
"Myosurus minimus","EN","yes","Croatia","Myosurus minimus L.",3033605,"Myosurus minimus","Tracheophyta","species","ACCEPTED"
"Ophioglossum lusitanicum","EN","yes","Croatia","Ophioglossum lusitanicum L.",2650128,"Ophioglossum lusitanicum","Tracheophyta","species","ACCEPTED"
"Papaver argemone","EN","yes","Croatia","Papaver argemone L.",2888445,"Papaver argemone","Tracheophyta","species","ACCEPTED"
"Papaver hybridum","EN","yes","Croatia","Papaver hybridum L.",2888446,"Papaver hybridum","Tracheophyta","species","ACCEPTED"
"Periploca graeca","EN","yes","Croatia","Periploca graeca L.",5414545,"Periploca graeca","Tracheophyta","species","ACCEPTED"
"Pseudolysimachion longifolium","EN","yes","Croatia","Pseudolysimachion longifolium (L.) Opiz",3172118,"Veronica longifolia","Tracheophyta","species","SYNONYM"
"Puccinellia distans","EN","yes","Croatia","Puccinellia distans (Jacq.) Parl.",2704688,"Puccinellia distans","Tracheophyta","species","ACCEPTED"
"Rhinanthus rumelicus","EN","yes","Croatia","Rhinanthus rumelicus Velen.",3741862,"Rhinanthus rumelicus","Tracheophyta","species","ACCEPTED"
"Salvia nemorosa","EN","yes","Croatia","Salvia nemorosa L.",2927028,"Salvia nemorosa","Tracheophyta","species","ACCEPTED"
"Tofieldia calyculata","EN","yes","Croatia","Tofieldia calyculata (L.) Wahlenb.",2864397,"Tofieldia calyculata","Tracheophyta","species","ACCEPTED"
"Triglochin maritimum","EN","yes","Croatia","Triglochin maritima L.",2865368,"Triglochin maritima","Tracheophyta","species","ACCEPTED"
"Triglochin palustris","EN","yes","Croatia","Triglochin palustris L.",2865280,"Triglochin palustris","Tracheophyta","species","ACCEPTED"
"Typha laxmannii","EN","yes","Croatia","Typha laxmannii Lepech.",5289503,"Typha laxmannii","Tracheophyta","species","ACCEPTED"
"Vaccaria hispanica","EN","yes","Croatia","Vaccaria hispanica (Mill.) Rauschert",8091998,"Gypsophila vaccaria","Tracheophyta","species","SYNONYM"
"Veronica dillenii","EN","yes","Croatia","Veronica dillenii Crantz",3172053,"Veronica dillenii","Tracheophyta","species","ACCEPTED"
"Xeranthemum annuum","EN","yes","Croatia","Xeranthemum annuum L.",7956743,"Xeranthemum annuum","Tracheophyta","species","ACCEPTED"
"Dianthus multinervis","EX","yes","Croatia","Dianthus multinervis Vis.",3085420,"Dianthus caryophyllus","Tracheophyta","species","SYNONYM"
"Ammophila arenaria","RE","yes","Croatia","Ammophila arenaria (L.) Link",5289845,"Ammophila arenaria","Tracheophyta","species","ACCEPTED"
"Botrychium matricariifolium","RE","yes","Croatia","Botrychium matricariifolium (Döll) A.Braun ex Koch",9225633,"Botrychium matricariifolium","Tracheophyta","species","ACCEPTED"
"Caldesia parnassifolia","RE","yes","Croatia","Caldesia parnassifolia (Bassi) Parl.",5329163,"Caldesia parnassifolia","Tracheophyta","species","ACCEPTED"
"Cuscuta epilinum","RE","yes","Croatia","Cuscuta epilinum Weihe",2927530,"Cuscuta epilinum","Tracheophyta","species","ACCEPTED"
"Cyperus glaber","RE","yes","Croatia","Cyperus glaber L.",2715006,"Cyperus glaber","Tracheophyta","species","ACCEPTED"
"Drosera anglica","RE","yes","Croatia","Drosera anglica Huds.",3190932,"Drosera anglica","Tracheophyta","species","ACCEPTED"
"Drosera intermedia","RE","yes","Croatia","Drosera intermedia Hayne",3191157,"Drosera intermedia","Tracheophyta","species","ACCEPTED"
"Eriophorum gracile","RE","yes","Croatia","Eriophorum gracile W.D.J.Koch",2730137,"Eriophorum gracile","Tracheophyta","species","ACCEPTED"
"Eryngium planum","RE","yes","Croatia","Eryngium planum L.",3034393,"Eryngium planum","Tracheophyta","species","ACCEPTED"
"Hippophae rhamnoides","RE","yes","Croatia","Hippophae rhamnoides L.",3039285,"Hippophae rhamnoides","Tracheophyta","species","ACCEPTED"
"Blackstonia perfoliata","VU","yes","Croatia","Blackstonia perfoliata (L.) Huds.",6366886,"Blackstonia perfoliata","Tracheophyta","species","ACCEPTED"
"Blysmus compressus","VU","yes","Croatia","Blysmus compressus (L.) Panz. ex Link",2710650,"Blysmus compressus","Tracheophyta","species","ACCEPTED"
"Cardaminopsis halleri","VU","yes","Croatia","Cardaminopsis halleri (L.) Hayek",3052450,"Arabidopsis halleri","Tracheophyta","species","SYNONYM"
"Carex davalliana","VU","yes","Croatia","Carex davalliana Sm.",2728143,"Carex davalliana","Tracheophyta","species","ACCEPTED"
"Carex divisa","VU","yes","Croatia","Carex divisa Huds.",2723410,"Carex divisa","Tracheophyta","species","ACCEPTED"
"Carex extensa","VU","yes","Croatia","Carex extensa Gooden.",2726545,"Carex extensa","Tracheophyta","species","ACCEPTED"
"Carex rostrata","VU","yes","Croatia","Carex rostrata Stokes",2726725,"Carex rostrata","Tracheophyta","species","ACCEPTED"
"Clematis integrifolia","VU","yes","Croatia","Clematis integrifolia L.",6374790,"Clematis integrifolia","Tracheophyta","species","ACCEPTED"
"Cynanchum acutum","VU","yes","Croatia","Cynanchum acutum L.",3571089,"Cynanchum acutum","Tracheophyta","species","ACCEPTED"
"Cyperus glomeratus","VU","yes","Croatia","Cyperus glomeratus L.",2715054,"Cyperus glomeratus","Tracheophyta","species","ACCEPTED"
"Cyperus michelianus","VU","yes","Croatia","Cyperus michelianus (L.) Delile",2714056,"Cyperus michelianus","Tracheophyta","species","ACCEPTED"
"Cyperus serotinus","VU","yes","Croatia","Cyperus serotinus Rottb.",2715620,"Cyperus serotinus","Tracheophyta","species","ACCEPTED"
"Cypripedium calceolus","VU","yes","Croatia","Cypripedium calceolus L.",2820517,"Cypripedium calceolus","Tracheophyta","species","ACCEPTED"
"Dactylorhiza incarnata","VU","yes","Croatia","Dactylorhiza incarnata (L.) Soó",8248593,"Dactylorhiza incarnata","Tracheophyta","species","ACCEPTED"
"Dactylorhiza majalis","VU","yes","Croatia","Dactylorhiza majalis (Rchb.) P.F.Hunt & Summerh.",2810155,"Dactylorhiza majalis","Tracheophyta","species","ACCEPTED"
"Daphne cneorum","VU","yes","Croatia","Daphne cneorum L.",7150059,"Daphne cneorum","Tracheophyta","species","ACCEPTED"
"Delphinium peregrinum","VU","yes","Croatia","Delphinium peregrinum L.",7277819,"Delphinium peregrinum","Tracheophyta","species","ACCEPTED"
"Delphinium staphisagria","VU","yes","Croatia","Delphinium staphisagria L.",7620156,"Staphisagria macrosperma","Tracheophyta","species","SYNONYM"
"Dianthus giganteus","VU","yes","Croatia","Dianthus giganteus d'Urv.",7267630,"Dianthus giganteus","Tracheophyta","species","ACCEPTED"
"Eriophorum latifolium","VU","yes","Croatia","Eriophorum latifolium Hoppe",2730210,"Eriophorum latifolium","Tracheophyta","species","ACCEPTED"
"Gentiana lutea","VU","yes","Croatia","Gentiana lutea L.",3170040,"Gentiana lutea","Tracheophyta","species","ACCEPTED"
"Gentiana pneumonanthe","VU","yes","Croatia","Gentiana pneumonanthe L.",7270598,"Gentiana pneumonanthe","Tracheophyta","species","ACCEPTED"
"Glaucium flavum","VU","yes","Croatia","Glaucium flavum Crantz",5334190,"Glaucium flavum","Tracheophyta","species","ACCEPTED"
"Hibiscus trionum","VU","yes","Croatia","Hibiscus trionum L.",3152560,"Hibiscus trionum","Tracheophyta","species","ACCEPTED"
"Hippuris vulgaris","VU","yes","Croatia","Hippuris vulgaris L.",5372503,"Hippuris vulgaris","Tracheophyta","species","ACCEPTED"
"Iris sibirica","VU","yes","Croatia","Iris sibirica L.",5298126,"Iris sibirica","Tracheophyta","species","ACCEPTED"
"Lemna gibba","VU","yes","Croatia","Lemna gibba L.",2867569,"Lemna gibba","Tracheophyta","species","ACCEPTED"
"Lindernia procumbens","VU","yes","Croatia","Lindernia procumbens (Krock.) Philcox",3171882,"Lindernia procumbens","Tracheophyta","species","ACCEPTED"
"Lythrum portula","VU","yes","Croatia","Lythrum portula (L.) D.A.Webb",3188743,"Lythrum portula","Tracheophyta","species","ACCEPTED"
"Malva parviflora","VU","yes","Croatia","Malva parviflora L.",3152378,"Malva parviflora","Tracheophyta","species","ACCEPTED"
"Marsilea quadrifolia","VU","yes","Croatia","Marsilea quadrifolia L.",5274875,"Marsilea quadrifolia","Tracheophyta","species","ACCEPTED"
"Ophrys apifera","VU","yes","Croatia","Ophrys apifera Huds.",2792998,"Ophrys apifera","Tracheophyta","species","ACCEPTED"
"Ophrys lutea","VU","yes","Croatia","Ophrys lutea Cav.",9226313,"Ophrys lutea","Tracheophyta","species","ACCEPTED"
"Orchis italica","VU","yes","Croatia","Orchis italica Poir.",2849640,"Orchis italica","Tracheophyta","species","ACCEPTED"
"Orchis lactea","VU","yes","Croatia","Orchis lactea Poir.",2812434,"Neotinea lactea","Tracheophyta","species","SYNONYM"
"Orchis spitzelii","VU","yes","Croatia","Orchis spitzelii Saut. ex W.D.J.Koch",2849584,"Orchis spitzelii","Tracheophyta","species","ACCEPTED"
"Orlaya kochii","VU","yes","Croatia","Orlaya kochii Heywood",3638303,"Orlaya daucoides","Tracheophyta","species","SYNONYM"
"Pedicularis acaulis","VU","yes","Croatia","Pedicularis acaulis Scop.",8203105,"Pedicularis acaulis","Tracheophyta","species","ACCEPTED"
"Pedicularis hoermanniana","VU","yes","Croatia","Pedicularis hoermanniana K.Malý",3742611,"Pedicularis hoermanniana","Tracheophyta","species","ACCEPTED"
"Ranunculus lingua","VU","yes","Croatia","Ranunculus lingua L.",8310009,"Ranunculus lingua","Tracheophyta","species","ACCEPTED"
"Ranunculus ophioglossifolius","VU","yes","Croatia","Ranunculus ophioglossifolius Vill.",3931003,"Ranunculus ophioglossifolius","Tracheophyta","species","ACCEPTED"
"Selaginella helvetica","VU","yes","Croatia","Selaginella helvetica (L.) Spring",7452468,"Selaginella helvetica","Tracheophyta","species","ACCEPTED"
"Stratiotes aloides","VU","yes","Croatia","Stratiotes aloides L.",5329192,"Stratiotes aloides","Tracheophyta","species","ACCEPTED"
"Suaeda vera","VU","yes","Croatia","Suaeda vera J.F.Gmel.",6035538,"Suaeda vera","Tracheophyta","species","ACCEPTED"
"Trifolium resupinatum","VU","yes","Croatia","Trifolium resupinatum L.",5359175,"Trifolium resupinatum","Tracheophyta","species","ACCEPTED"
"Urtica membranacea","VU","yes","Croatia","Urtica membranacea Poir.",7685819,"Urtica membranacea","Tracheophyta","species","ACCEPTED"
"Urtica pilulifera","VU","yes","Croatia","Urtica pilulifera L.",5670646,"Urtica pilulifera","Tracheophyta","species","ACCEPTED"
"Vicia onobrychioides","VU","yes","Croatia","Vicia onobrychioides L.",2974863,"Vicia onobrychioides","Tracheophyta","species","ACCEPTED"
"Cymbalaria longipes","CR","yes","Cyprus","Cymbalaria longipes (Boiss. & Heldr.) A.Chev.",5559869,"Cymbalaria longipes","Tracheophyta","species","ACCEPTED"
"Ipomoea sagittata","CR","yes","Cyprus","Ipomoea sagittata Poir.",2928626,"Ipomoea sagittata","Tracheophyta","species","ACCEPTED"
"Gypsophila linearifolia","CR","yes","Cyprus","Gypsophila linearifolia (Fisch. & C.A.Mey.) Boiss.",5586327,"Gypsophila linearifolia","Tracheophyta","species","ACCEPTED"
"Mentha aquatica","CR","yes","Cyprus","Mentha aquatica L.",2927208,"Mentha aquatica","Tracheophyta","species","ACCEPTED"
"Crypsis hadjikyriakou","CR","yes","Cyprus","Crypsis hadjikyriakou Raus & H.Scholz",9451593,"Sporobolus hadjikyriakou","Tracheophyta","species","SYNONYM"
