"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Baldellia ranunculoides","CR","yes","Albania","Baldellia ranunculoides (L.) Parl.",2864546,"Baldellia ranunculoides","Tracheophyta","species","ACCEPTED"
"Barbarea balcana","EN","yes","Albania","Barbarea balcana Pancic",5374670,"Barbarea balcana","Tracheophyta","species","ACCEPTED"
"Barbarea vulgaris","VU","yes","Albania","Barbarea vulgaris (L.) W.T.Aiton",5708780,"Barbarea vulgaris","Tracheophyta","species","ACCEPTED"
"Bellevalia hyacinthoides","VU","yes","Albania","Bellevalia hyacinthoides (Bertol.) K.Perss. & Wendelbo",2771948,"Bellevalia hyacinthoides","Tracheophyta","species","ACCEPTED"
"Berberis croatica","CR","yes","Albania","Berberis croatica Horvat ex Kusan",3981087,"Berberis aetnensis","Tracheophyta","species","SYNONYM"
"Betula pendula","CR","yes","Albania","Betula pendula Roth",5331916,"Betula pendula","Tracheophyta","species","ACCEPTED"
"Bornmuellera baldaccii","EN","yes","Albania","Bornmuellera baldaccii (Degen) Heywood",3047116,"Bornmuellera baldaccii","Tracheophyta","species","ACCEPTED"
"Brassica incana","VU","yes","Albania","Brassica incana Ten.",3042526,"Brassica incana","Tracheophyta","species","ACCEPTED"
"Butomus umbellatus","VU","yes","Albania","Butomus umbellatus L.",2864467,"Butomus umbellatus","Tracheophyta","species","ACCEPTED"
"Caldesia parnassifolia","VU","yes","Albania","Caldesia parnassifolia (Bassi) Parl.",5329163,"Caldesia parnassifolia","Tracheophyta","species","ACCEPTED"
"Caltha palustris","VU","yes","Albania","Caltha palustris L.",5371685,"Caltha palustris","Tracheophyta","species","ACCEPTED"
"Campanula albanica","EN","yes","Albania","Campanula albanica Witasek",5411169,"Campanula albanica","Tracheophyta","species","ACCEPTED"
"Campanula haekinsiana","EN","yes","Albania","Campanula hawkinsiana Hausskn. & Heldr.",5411127,"Campanula hawkinsiana","Tracheophyta","species","ACCEPTED"
"Capparis spinosa","VU","yes","Albania","Capparis spinosa L.",6370689,"Capparis spinosa","Tracheophyta","species","ACCEPTED"
"Carduus cronicus","EN","yes","Albania","Carduus cronius Boiss. & Heldr.",3114579,"Carduus tmoleus","Tracheophyta","species","SYNONYM"
"Carduus kerneri","EN","yes","Albania","Carduus kerneri Simonk.",3114772,"Carduus kerneri","Tracheophyta","species","ACCEPTED"
"Carduus micropterus","EN","yes","Albania","Carduus micropterus (Borbás) Teyber",8185959,"Carduus nutans","Tracheophyta","species","SYNONYM"
"Carduus ramosissimus","EN","yes","Albania","Carduus ramosissimus Pancic",3114540,"Carduus ramosissimus","Tracheophyta","species","ACCEPTED"
"Carex markgrafii","EN","yes","Albania","Carex markgrafii Kük.",2726355,"Carex markgrafii","Tracheophyta","species","ACCEPTED"
"Celtis tourneforti","VU","yes","Albania","Celtis tournefortii Lam.",7141679,"Celtis tournefortii","Tracheophyta","species","ACCEPTED"
"Centaurea candelabrum","EN","yes","Albania","Centaurea candelabrum Hayek & Košanin, 1931",3128841,"Centaurea melanocephala","Tracheophyta","species","SYNONYM"
"Centaurea graeca","EN","yes","Albania","Centaurea graeca Griseb.",3128004,"Centaurea graeca","Tracheophyta","species","ACCEPTED"
"Centaurea grisebachii","EN","yes","Albania","Centaurea grisebachii (Nyman) Heldr.",3127576,"Centaurea grisebachii","Tracheophyta","species","DOUBTFUL"
